method,method_label,model_seed,wind_level,success_rate,collision_rate,timeout_rate,average_return,final_distance,path_length,straight_line_distance,path_efficiency,minimum_clearance,average_speed,episode_steps,cities
HW_GA_SAC,HW_GA_SAC,1,default,0.9649999999999999,0.001,0.034,234.29555034974527,14.298011987686158,1545.085395536446,923.903961303711,0.6001427097620265,16.74958952554781,14.708980075168714,1068.06,10
HW_GA_SAC,HW_GA_SAC,2,default,0.9970000000000001,0.002,0.001,219.37791598835693,10.736615915298461,1315.043119081776,923.903961303711,0.7035322891955639,5.199579465284943,13.889749929066536,948.3950000000001,10
HW_GA_SAC,HW_GA_SAC,3,default,0.967,0.03300000000000001,0.0,184.5408044056653,21.7441182308197,1068.199812516756,923.903961303711,0.8634614678868733,5.663936060485837,12.965185911169186,832.8520000000001,10
sac,SAC,1,default,0.74,0.03799999999999999,0.22199999999999998,125.68078823852224,29.008501846313482,1205.1371027974662,923.903961303711,0.7988313887560953,4.904680772072387,11.359476378301121,1183.486,10
sac,SAC,2,default,0.9810000000000001,0.002,0.017,213.17220871470795,13.245842466354372,1038.1372442157926,923.903961303711,0.8929714434930969,16.911172457814217,13.343233279222503,792.301,10
sac,SAC,3,default,0.9719999999999999,0.004,0.024,209.90657151688828,18.888323863983153,1105.0088080152268,923.903961303711,0.8342566587248834,24.89232964772638,14.078763208209272,805.3720000000001,10
td3,TD3,1,default,0.817,0.004,0.179,145.85147247860073,13.664399374008179,1183.2194427930922,923.903961303711,0.8008172387634251,4.211435135105626,12.059625479214043,1157.1199999999997,10
td3,TD3,2,default,0.881,0.009999999999999998,0.10900000000000001,189.3205107898319,16.388478300094604,1388.0013206460853,923.903961303711,0.6847816194559926,4.662561673922465,11.450783452828635,1247.9559999999997,10
td3,TD3,3,default,0.849,0.15100000000000002,0.0,144.59810650409264,33.1007383518219,1272.1124397500607,923.903961303711,0.7441204892840271,3.8955429643269746,13.318874631563881,982.7099999999998,10

