method,method_label,model_seed,city_seed,wind_level,episode_seed,episode_index,success,collision,timeout,return,final_distance,path_length,straight_line_distance,path_efficiency,min_clearance,average_speed,steps
td3,TD3,1,52,default,0,0,1.0,0.0,0.0,210.25654355554266,9.934054374694824,993.5941826298676,934.53515625,0.9405602132013808,16.187284469604492,15.49152417151356,642.0
td3,TD3,1,52,default,1,1,1.0,0.0,0.0,202.04168682194796,9.931724548339844,1073.2290414987092,935.4208984375,0.871594843474635,3.817092180252075,13.739791200670135,782.0
td3,TD3,1,52,default,2,2,1.0,0.0,0.0,203.06547064786432,9.966156959533691,955.51026948251,893.7583618164062,0.9353728477460032,4.614731788635254,14.768375365270508,648.0
td3,TD3,1,52,default,3,3,1.0,0.0,0.0,204.80311565844718,9.988983154296875,1045.1048094768032,930.5349731445312,0.8903747879701869,3.7427711486816406,15.009061053031829,697.0
td3,TD3,1,52,default,4,4,1.0,0.0,0.0,205.1718023379612,9.920265197753906,1060.3021362713346,982.02783203125,0.9261773587334791,5.514152526855469,14.148434498389562,750.0
td3,TD3,1,52,default,5,5,1.0,0.0,0.0,184.12834585348207,9.938122749328613,1157.789739826079,887.455078125,0.766507982924699,1.4153480529785156,13.23059887088597,876.0
td3,TD3,1,52,default,6,6,1.0,0.0,0.0,188.6934570367668,9.9769868850708,1500.6392783997803,954.5559692382812,0.6360995496907027,3.91888427734375,7.6563014193118075,1965.0
td3,TD3,1,52,default,7,7,1.0,0.0,0.0,185.65092190197782,9.967676162719727,1112.402185113531,971.4354248046875,0.8732771634258732,2.82940673828125,13.978970998652755,797.0
td3,TD3,1,52,default,8,8,1.0,0.0,0.0,199.45217056117286,9.98384952545166,1019.8165341526386,890.9869995117188,0.8736738125667243,4.583194255828857,14.92465435805028,684.0
td3,TD3,1,52,default,9,9,0.0,0.0,1.0,-25.67181165809636,15.715738296508789,1535.123978503614,854.3290405273438,0.5565212012127609,7.248165130615234,6.995889332714406,2200.0
td3,TD3,1,52,default,10,10,1.0,0.0,0.0,163.45265095905782,9.921932220458984,1027.4102656264674,903.5235595703125,0.8794184658252227,1.5093154907226562,14.00736230002762,734.0
td3,TD3,1,52,default,11,11,1.0,0.0,0.0,217.50633535245464,9.900614738464355,1232.0535515657905,992.8046875,0.805812934217239,4.563148498535156,12.77185697504946,966.0
td3,TD3,1,52,default,12,12,1.0,0.0,0.0,212.8902672795045,9.994084358215332,1045.8175089124124,934.214599609375,0.8932864401753058,8.550697326660156,14.992920065165249,698.0
td3,TD3,1,52,default,13,13,1.0,0.0,0.0,195.68161610113472,9.995293617248535,1111.2906877475175,987.4907836914062,0.8885980910115947,3.4257278442382812,14.870501447170176,748.0
td3,TD3,1,52,default,14,14,1.0,0.0,0.0,197.03405739541438,9.96705436706543,931.0676766169651,860.3132934570312,0.9240072607643088,3.464771270751953,14.861191690823679,627.0
td3,TD3,1,52,default,15,15,1.0,0.0,0.0,196.778339213361,9.936103820800781,1055.0236779267516,921.5856323242188,0.8735212788164578,2.932497978210449,14.791719057229386,714.0
td3,TD3,1,52,default,16,16,1.0,0.0,0.0,199.02091188639756,9.943134307861328,981.4649825394663,857.2015380859375,0.8733898339072612,4.2227630615234375,14.359480444450824,684.0
td3,TD3,1,52,default,17,17,1.0,0.0,0.0,195.36578512358892,9.97656536102295,1133.1546096915752,976.4609375,0.8617190709445868,3.4403460025787354,13.53524751850984,838.0
td3,TD3,1,52,default,18,18,1.0,0.0,0.0,196.41038526014384,9.971470832824707,1058.7537804747767,924.3443603515625,0.8730494071407792,3.3701248168945312,14.185941558445952,747.0
td3,TD3,1,52,default,19,19,0.0,0.0,1.0,-51.9261444593562,17.35019302368164,1489.6347389465159,918.4957885742188,0.6165912787612539,1.8062362670898438,6.792971037097953,2200.0
td3,TD3,1,52,default,20,20,1.0,0.0,0.0,133.94948836536588,9.965508460998535,1086.1134085307722,956.6106567382812,0.8807649820218366,0.7659988403320312,14.576981660188363,746.0
td3,TD3,1,52,default,21,21,1.0,0.0,0.0,206.5601115399333,9.890682220458984,1086.3349577945585,953.4130859375,0.8776419087839058,5.672221660614014,14.135922891110841,769.0
td3,TD3,1,52,default,22,22,1.0,0.0,0.0,195.15642876154402,9.934398651123047,1065.8243018738349,858.1458129882812,0.8051475383696616,2.4881973266601562,13.042817364257822,818.0
td3,TD3,1,52,default,23,23,0.0,1.0,0.0,-194.06681114108312,537.6598510742188,564.4912245438871,959.8709106445312,1.0,0.0,12.664143602276063,446.0
td3,TD3,1,52,default,24,24,1.0,0.0,0.0,206.6898513109512,9.97710132598877,1170.6563444671176,963.606201171875,0.8231332839275801,6.381038188934326,13.131926711431534,892.0
td3,TD3,1,52,default,25,25,1.0,0.0,0.0,202.3414099105029,9.920661926269531,956.2105402161335,869.572021484375,0.9093938885967776,5.450008392333984,14.94843360092491,640.0
