method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
PPO,4,2,0,1312000,1,0,0,239.8335896072477,1027,983.4966430664062,9.819778442382812,9.819778442382812,18.082210540771484,10.176965475894924,1042.9028461208609,0.9430376441339483,1.0604030562516555
PPO,4,2,1,1312001,1,0,0,239.12721809310608,1345,943.80078125,9.877167701721191,9.877167701721191,18.570571899414062,9.86505764009341,1324.422902237882,0.7126128517222532,1.4032865076502414
PPO,4,2,2,1312002,1,0,0,248.4037539813014,1924,923.03076171875,9.974264144897461,9.974264144897461,21.946670532226562,8.903788282413988,1711.0068665817967,0.5394664274859141,1.853683471389164
PPO,4,2,3,1312003,1,0,0,225.69169136678437,1484,935.7022705078125,9.980042457580566,9.980042457580566,3.7724266052246094,9.44287140671455,1398.8316497965989,0.6689169998719081,1.494953783790054
PPO,4,2,4,1312004,1,0,0,194.4677311362856,1770,942.9204711914062,9.98894214630127,9.98894214630127,1.3805999755859375,8.747750014235072,1545.4853163100631,0.6101128630860655,1.6390410045476045
PPO,4,2,5,1312005,1,0,0,240.66599213656878,1557,958.491943359375,9.989850997924805,9.989850997924805,15.917943000793457,9.362810521341702,1455.659600712158,0.6584588477212999,1.5186977947986526
PPO,4,2,6,1312006,1,0,0,248.55092417331178,1803,925.1934814453125,9.996021270751953,9.996021270751953,18.737472534179688,8.966431060534216,1614.2390868278694,0.5731452602002124,1.744758387517115
PPO,4,2,7,1312007,1,0,0,236.67640155027885,1472,958.591064453125,9.988609313964844,9.988609313964844,6.415186405181885,9.381658339630002,1379.051304638722,0.6951090660867418,1.4386231582760154
PPO,4,2,8,1312008,1,0,0,240.93633772224564,1004,930.4930419921875,9.965630531311035,9.965630531311035,10.333728790283203,9.918404088789723,994.1477625903813,0.9359705639407837,1.0684096685579818
PPO,4,2,9,1312009,1,0,0,217.66511235105023,1049,860.0568237304688,9.989307403564453,9.989307403564453,2.967792510986328,9.32054456764454,976.1745261972733,0.8810482148933494,1.13501166348887
PPO,4,2,10,1312010,1,0,0,0.9001639728051885,1524,913.3765869140625,9.99365520477295,9.99365520477295,0.0,9.08580847315275,1382.0350133341826,0.6608925085845156,1.513105364353088
PPO,4,2,11,1312011,0,1,0,-220.4472310496335,1066,974.4583129882812,354.67340087890625,354.67340087890625,0.0,9.053726981325847,963.6965827550356,1.0111671354094458,nan
PPO,4,2,12,1312012,0,1,0,-139.28186794023296,860,866.401611328125,92.10689544677734,92.10689544677734,0.0,9.6750077860993,830.7613116697767,1.042900769640697,nan
PPO,4,2,13,1312013,1,0,0,239.98747181489,1914,955.2575073242188,9.952911376953125,9.952911376953125,10.06048583984375,9.015248817336223,1722.4702791290738,0.5545857707380716,1.8031475972943696
PPO,4,2,14,1312014,1,0,0,250.89706108032271,1725,945.284423828125,9.926671981811523,9.926671981811523,22.312728881835938,9.440438854590706,1625.9590584429416,0.5813703727161204,1.7200738925309735
PPO,4,2,15,1312015,1,0,0,246.63154499986706,1564,976.0298461914062,9.865772247314453,9.865772247314453,21.043045043945312,9.47818792803818,1480.4435725727233,0.6592820315976353,1.5168015387537626
PPO,4,2,16,1312016,1,0,0,109.8191415967704,1508,898.4134521484375,9.96621036529541,9.96621036529541,0.016824673861265182,8.52255572896421,1282.571164946438,0.7004784426024083,1.4275956820095892
