method,model_seed,city42_success_rate,city1_4_success_rate,city42_collision_rate,city1_4_collision_rate,city42_timeout_rate,city1_4_timeout_rate
GRU_SAC,1,0.995,0.99125,0.005,0.00375,0.0,0.005
GRU_SAC,2,0.975,0.9725,0.005,0.0,0.02,0.0275
GRU_SAC,3,0.0,0.0,0.02,0.0,0.98,1.0
GRU_SAC,4,0.915,0.9425,0.0,0.0025,0.085,0.055
GRU_SAC,5,0.985,0.99125,0.015,0.0025,0.0,0.00625
HW_GA_SAC,1,0.96,0.95,0.03,0.00125,0.01,0.04875
HW_GA_SAC,2,0.985,0.99125,0.01,0.00375,0.005,0.005
HW_GA_SAC,3,0.97,0.97625,0.03,0.02125,0.0,0.0025
HW_GA_SAC,4,0.99,0.96375,0.0,0.02875,0.01,0.0075
HW_GA_SAC,5,0.91,0.90625,0.005,0.0,0.085,0.09375
LSTM_SAC,1,0.0,0.0,0.0,0.0,1.0,1.0
LSTM_SAC,2,0.955,0.98125,0.025,0.00625,0.02,0.0125
LSTM_SAC,3,0.98,1.0,0.015,0.0,0.005,0.0
LSTM_SAC,4,1.0,0.98125,0.0,0.01875,0.0,0.0
LSTM_SAC,5,0.735,0.73375,0.215,0.21375,0.05,0.0525
PPO,1,0.175,0.14375,0.665,0.7325,0.16,0.12375
PPO,2,0.0,0.0,0.07,0.11375,0.93,0.88625
PPO,3,0.43,0.4175,0.135,0.1575,0.435,0.425
PPO,4,0.76,0.7725,0.21,0.20875,0.03,0.01875
PPO,5,0.0,0.0,1.0,1.0,0.0,0.0
SAC,1,0.74,0.715,0.015,0.04,0.245,0.245
SAC,2,0.995,0.97125,0.0,0.0025,0.005,0.02625
SAC,3,0.97,0.96125,0.02,0.005,0.01,0.03375
SAC,4,0.995,0.96875,0.0,0.01125,0.005,0.02
SAC,5,0.905,0.955,0.04,0.0125,0.055,0.0325
SAC_Large,1,0.35,0.3675,0.015,0.01875,0.635,0.61375
SAC_Large,2,0.985,0.95875,0.015,0.03,0.0,0.01125
SAC_Large,3,0.955,0.97625,0.045,0.01625,0.0,0.0075
SAC_Large,4,0.965,0.99125,0.005,0.00125,0.03,0.0075
SAC_Large,5,0.985,0.97625,0.005,0.00375,0.01,0.02
TD3,1,0.735,0.8075,0.0,0.005,0.265,0.1875
TD3,2,0.885,0.91375,0.005,0.00875,0.11,0.0775
TD3,3,0.875,0.84625,0.125,0.15375,0.0,0.0
TD3,4,0.28,0.23125,0.0,0.00125,0.72,0.7675
TD3,5,0.955,0.94,0.0,0.0,0.045,0.06
