method,model_seed,city_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
GRU_SAC,1,1,200,1.0,0.0,0.0,214.33193906331493,713.21,9.917876887321473,9.917876887321473,18.182034747004508,14.456565744854144,1028.9631948932447,1.1185821718333901,1.1185821718333901
GRU_SAC,1,2,200,0.99,0.01,0.0,209.27354600870785,699.815,17.650814867019655,17.650814867019655,27.130914379283787,14.550374966970967,1017.3972580806166,1.1019137002798953,1.1109559353576257
GRU_SAC,1,3,200,0.975,0.005,0.02,202.65163939203865,767.55,27.131129970550536,27.131129970550536,19.649855799674988,14.11498098857898,1046.4277422533557,1.1287266418178252,1.1294953310428453
GRU_SAC,1,4,200,1.0,0.0,0.0,214.7198899203763,707.375,9.916913876533508,9.916913876533508,26.776831174544057,14.547448429879587,1027.4450012522564,1.1114187533388935,1.1114187533388935
GRU_SAC,1,42,200,0.995,0.005,0.0,210.4502282198,706.805,13.50997778905,13.50997778905,17.845713615545,14.474491641750001,1021.371639279,1.108358097155,1.1128966062864323
GRU_SAC,2,1,200,0.985,0.0,0.015,214.97733027083606,830.555,9.958252081871033,9.958252081871033,8.684963657855988,14.085040646494672,1155.9252544741892,1.2570584131878588,1.2443884999297463
GRU_SAC,2,2,200,0.95,0.0,0.05,204.6354696982203,904.25,10.038766055107116,10.038766055107116,7.733712255954742,13.766552684130998,1198.7067760010623,1.2977930465757526,1.2589149097043493
GRU_SAC,2,3,200,0.98,0.0,0.02,212.17390002175995,850.955,9.951326522827149,9.951326522827149,7.745061840265989,13.941539030050437,1167.8112966092956,1.2594712985221395,1.2420700900951618
GRU_SAC,2,4,200,0.975,0.0,0.025,212.29402348797757,853.52,9.962435822486878,9.962435822486878,8.136205606460571,13.959929928187426,1165.5143876098655,1.2611121647059205,1.2410463879869915
GRU_SAC,2,42,200,0.975,0.005,0.02,210.83025994331092,838.485,13.757752604484558,13.757752604484558,8.101990231871605,14.01658318255607,1153.2382431363687,1.25120158011967,1.2402413010019342
GRU_SAC,3,1,200,0.0,0.0,1.0,-22.500630132658237,2200.0,29.38141236305237,29.38141236305237,16.496924228668213,9.611341880806773,2113.229408058445,2.3023445873068153,nan
GRU_SAC,3,2,200,0.0,0.0,1.0,-22.149463462226052,2200.0,29.720343532562257,29.720343532562257,20.661639617979528,9.596704983372545,2109.977603751039,2.2899537159268126,nan
GRU_SAC,3,3,200,0.0,0.0,1.0,-24.197472981749698,2200.0,29.67888602256775,29.67888602256775,15.823156346082687,9.56391720301956,2102.7360636017656,2.2727921330574437,nan
GRU_SAC,3,4,200,0.0,0.0,1.0,-21.952097821668776,2200.0,29.77178500175476,29.77178500175476,17.04261253118515,9.598077193895287,2110.2788561786338,2.288149040772252,nan
GRU_SAC,3,42,200,0.0,0.02,0.98,-26.470915979231922,2158.91,45.17466111183167,45.17466111183167,15.893679220676422,9.6229534222603,2068.712699794215,2.249380620049986,nan
GRU_SAC,4,1,200,0.915,0.0,0.085,204.60040680818847,1017.155,11.755730123519898,10.496755805015564,9.348091064691543,13.61800126632602,1307.7731911941685,0.7105696296978995,1.39278711217666
GRU_SAC,4,2,200,0.955,0.0,0.045,215.74599079424442,957.965,10.933656439781188,10.306849298477173,11.679787597060203,13.851612503340515,1279.713607782659,0.7227747338723038,1.3784343292005707
GRU_SAC,4,3,200,0.94,0.01,0.05,199.93714440504954,1012.295,26.60076344013214,26.144284391403197,9.458555042203516,13.373844708470896,1280.2790377455713,0.7518255967427641,1.3977268006260124
GRU_SAC,4,4,200,0.96,0.0,0.04,215.60609163800697,948.46,10.682447066307068,10.168526487350464,10.475286284983158,13.963983534413307,1284.0315459453282,0.7238519694532279,1.3785290669561976
GRU_SAC,4,42,200,0.915,0.0,0.085,207.0306036866709,1008.54,11.616207284927368,10.467603640556336,12.87955414056778,13.62606408317875,1295.3792196565264,0.7223231222776734,1.3713524834892985
GRU_SAC,5,1,200,0.985,0.005,0.01,196.10566962489503,1054.81,14.238578100204467,14.170543432235718,5.991918415427208,11.035757428282052,1114.5397062498096,0.8384497635530918,1.2050501416254227
GRU_SAC,5,2,200,1.0,0.0,0.0,202.12533953616582,1054.86,9.964933080673218,9.964933080673218,5.739766142368317,10.825214883629988,1094.9541807137748,0.8485754171983411,1.1828404030822657
GRU_SAC,5,3,200,0.985,0.005,0.01,197.7408649708698,1038.845,15.135827074050903,15.133593187332153,5.411599322557449,11.190599824064885,1114.105422997518,0.8362301374663251,1.2141200781298602
GRU_SAC,5,4,200,0.995,0.0,0.005,201.24469211257917,1054.015,10.024348258972168,9.971977849006652,7.482216768170474,10.953291161404046,1110.1117162264622,0.8395753647368775,1.1930946157855356
GRU_SAC,5,42,200,0.985,0.015,0.0,196.06863744300335,1049.945,10.919441161155701,10.919441161155701,6.717240539900959,10.881345066604856,1098.8623285027415,0.8431014575142821,1.1917192571464779
HW_GA_SAC,1,1,200,0.92,0.0,0.08,217.85630797305265,1117.255,48.7943791103363,48.7943791103363,15.334037235379219,14.292635901756254,1522.512114960826,1.655022013784082,1.6644846740971082
HW_GA_SAC,1,2,200,0.99,0.0,0.01,241.38203943519798,1038.24,10.024233388900758,10.024233388900758,18.78506595492363,14.991649025610789,1548.321739150919,1.677505516000242,1.672953764577195
HW_GA_SAC,1,3,200,0.96,0.005,0.035,230.4216942237616,1071.87,27.097800393104553,27.097800393104553,17.494994851052763,14.611036771498432,1532.3729389125622,1.6535252748062093,1.664387897951177
HW_GA_SAC,1,4,200,0.93,0.0,0.07,219.72029516978677,1108.55,50.27116698741913,50.27116698741913,17.487857078509407,14.385018110399404,1524.099672646753,1.6493200019478373,1.6639483635186083
HW_GA_SAC,1,42,200,0.96,0.03,0.01,222.1127241187028,1009.995,33.33403954982757,33.33403954982757,13.243306589573622,14.844167451181036,1493.3936634887941,1.620911636885702,1.6596839469577958
HW_GA_SAC,2,1,200,1.0,0.0,0.0,219.60599349633668,926.765,9.88441056728363,9.88441056728363,5.656793487071991,13.913182911117351,1287.650899513904,1.3995151406560749,1.3995151406560749
HW_GA_SAC,2,2,200,0.985,0.005,0.01,216.91608359661382,970.98,11.747104339599609,11.747104339599609,5.438189766407013,13.972810781306507,1349.7647955301497,1.4610331208135026,1.4558650063077028
HW_GA_SAC,2,3,200,0.99,0.005,0.005,214.2076572830572,961.445,11.83857277393341,11.83857277393341,4.307783799171448,13.858053441850863,1328.0009661000408,1.431907006322014,1.4303841216250162
HW_GA_SAC,2,4,200,0.99,0.005,0.005,220.09329853334245,966.73,10.31283091545105,10.31283091545105,5.179429882764817,13.946738573356356,1344.0220405749417,1.4540797442835922,1.450924018753459
HW_GA_SAC,2,42,200,0.985,0.01,0.005,216.12825594161583,950.345,21.351794781684877,21.351794781684877,5.020259076356888,13.885841603488839,1311.890308771478,1.4242241896525272,1.4409509583688245
HW_GA_SAC,3,1,200,0.97,0.03,0.0,189.71657222605643,815.225,17.647842531204223,17.647842531204223,5.9299763979576525,13.1240347108166,1060.110197960455,1.1521407264383638,1.163635007534093
HW_GA_SAC,3,2,200,0.995,0.005,0.0,200.01702821225328,806.69,10.171910667419434,10.171910667419434,6.175887356121093,13.218153407726696,1054.3697119112032,1.1413701599247377,1.141842343301291
HW_GA_SAC,3,3,200,0.95,0.04,0.01,172.76578295164268,873.39,31.18282440185547,31.18282440185547,5.880788824660703,12.720298489146527,1091.4201599889855,1.176997694802492,1.1962150960767792
HW_GA_SAC,3,4,200,0.99,0.01,0.0,199.80152499475,801.325,11.284676685333253,11.284676685333253,6.795071413717233,13.312227933189568,1059.084299970977,1.145798033897736,1.1477633772157518
HW_GA_SAC,3,42,200,0.97,0.03,0.0,187.00680225706964,841.63,25.285202960968018,25.285202960968018,6.01617208044976,12.941570867016807,1074.6727659399994,1.1661333993147587,1.1872481173299547
HW_GA_SAC,4,1,200,0.955,0.035,0.01,199.89482185288085,793.64,38.01654277324676,37.79534537315369,17.236964864619075,14.450949220601055,1142.52684494251,1.0680690547257645,1.267197400098087
HW_GA_SAC,4,2,200,0.985,0.015,0.0,215.0735010412943,792.91,21.47425033092499,21.474196314811707,25.477277348600328,14.748508277433892,1169.7495953576333,0.8425415362423462,1.2855925178403829
HW_GA_SAC,4,3,200,0.93,0.055,0.015,189.77580493994236,789.78,50.36834228992462,50.05172916889191,19.255304536698386,14.479197608155598,1135.6017171987974,0.9864490274893943,1.2749422257032517
HW_GA_SAC,4,4,200,0.985,0.01,0.005,217.9750205988103,808.07,18.594307494163512,18.467387914657593,24.8208610214293,14.741363598321577,1186.6739828670484,0.8634504468148618,1.2898840222103678
HW_GA_SAC,4,42,200,0.99,0.0,0.01,220.42808987791548,824.5,10.246382756233215,9.955311741828918,25.631102770539,14.64436818109064,1195.6538800609408,0.7809431674969457,1.2781606104991863
