method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
LSTM_SAC,2,1,0,9000,1,0,0,213.73569332127641,648,nan,9.898906707763672,9.898906707763672,24.08538818359375,14.96695739509147,969.3459918573499,1.108833047330238,1.108833047330238
LSTM_SAC,2,1,1,9001,1,0,0,217.8450326802806,810,nan,9.97906494140625,9.97906494140625,11.692898750305176,14.049321966112396,1136.8451531343162,1.1441205559739245,1.1441205559739245
LSTM_SAC,2,1,2,9002,1,0,0,215.37180761584756,722,nan,9.911189079284668,9.911189079284668,23.28350830078125,14.600312039297373,1053.5995681770146,1.1155708065550725,1.1155708065550725
LSTM_SAC,2,1,3,9003,1,0,0,215.29589393645816,689,nan,9.886479377746582,9.886479377746582,23.954513549804688,14.514127754334615,999.3252082690597,1.1354936575864505,1.1354936575864505
LSTM_SAC,2,1,4,9004,1,0,0,212.52751707502023,690,nan,9.875642776489258,9.875642776489258,24.877243041992188,15.240291878105937,1050.6696137152612,1.1129372433573932,1.1129372433573932
LSTM_SAC,2,1,5,9005,1,0,0,215.11240077252245,732,nan,9.873123168945312,9.873123168945312,19.075037002563477,14.80205116131918,1082.373308211565,1.1333894617825495,1.1333894617825495
LSTM_SAC,2,1,6,9006,1,0,0,213.74450761015243,688,nan,9.933233261108398,9.933233261108398,22.965879440307617,14.482480997262998,995.7250556461513,1.1113553986165685,1.1113553986165685
LSTM_SAC,2,1,7,9007,1,0,0,127.2721116808328,755,nan,9.852952003479004,9.852952003479004,0.40286707878112793,13.251329182078507,999.6029278412461,1.1607669612014866,1.1607669612014866
LSTM_SAC,2,1,8,9008,1,0,0,213.71355294978127,745,nan,9.963897705078125,9.963897705078125,13.404783248901367,14.423436340869673,1074.0957331061363,1.1378073913198976,1.1378073913198976
LSTM_SAC,2,1,9,9009,1,0,0,215.6327055741669,725,nan,9.992133140563965,9.992133140563965,17.168302536010742,14.385501844800752,1041.8596356585622,1.1461745298676402,1.1461745298676402
LSTM_SAC,2,1,10,9010,1,0,0,214.68475483878046,658,nan,9.9314546585083,9.9314546585083,11.26545238494873,14.6973224022287,966.476030446589,1.1360031441889298,1.1360031441889298
