method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
GRU_SAC,2,42,0,9000,1,0,0,221.37406372066874,763,nan,9.973897933959961,9.973897933959961,11.361287117004395,14.103755017095594,1075.3129210583866,1.2300484172902186,1.2300484172902186
GRU_SAC,2,42,1,9001,1,0,0,216.26104613563422,762,nan,9.919058799743652,9.919058799743652,4.51776123046875,14.345630935640159,1092.0983219146729,1.1993829190511296,1.1993829190511296
GRU_SAC,2,42,2,9002,1,0,0,222.70223471442688,809,nan,9.850893020629883,9.850893020629883,12.815038681030273,14.200901269028597,1148.247047368437,1.1901137889722042,1.1901137889722042
GRU_SAC,2,42,3,9003,1,0,0,220.06874871092205,811,nan,9.9654541015625,9.9654541015625,5.034637451171875,14.13046327722058,1145.409829389304,1.301483827133235,1.301483827133235
GRU_SAC,2,42,4,9004,0,0,1,-23.171131990110098,2200,nan,13.622934341430664,13.622934341430664,19.167802810668945,8.610774421420965,1892.0518318004906,2.0041837343399305,nan
GRU_SAC,2,42,5,9005,1,0,0,216.7214254406559,740,nan,9.737451553344727,9.737451553344727,12.443304061889648,14.755430794728769,1091.1860472261906,1.142617576937311,1.142617576937311
GRU_SAC,2,42,6,9006,1,0,0,219.05812597631217,770,nan,9.865789413452148,9.865789413452148,6.394741058349609,14.476977304049901,1113.603015806526,1.24292214654492,1.24292214654492
GRU_SAC,2,42,7,9007,1,0,0,220.62656106764598,766,nan,9.957491874694824,9.957491874694824,5.413429260253906,13.568345711413313,1037.9093290232122,1.2052494288454965,1.2052494288454965
GRU_SAC,2,42,8,9008,1,0,0,222.31238622591638,801,nan,9.932782173156738,9.932782173156738,13.217713356018066,14.71976677710644,1178.05352101475,1.247931597032573,1.247931597032573
GRU_SAC,2,42,9,9009,1,0,0,219.90214003584873,730,nan,9.896931648254395,9.896931648254395,13.459925651550293,14.345749112922851,1045.783803574741,1.22453925467788,1.22453925467788
GRU_SAC,2,42,10,9010,1,0,0,217.14700964022478,745,nan,9.943825721740723,9.943825721740723,5.836524963378906,13.960157660509916,1039.3216531798244,1.2216264331877449,1.2216264331877449
GRU_SAC,2,42,11,9011,1,0,0,215.2676975757026,777,nan,9.867220878601074,9.867220878601074,5.388021945953369,14.43697128102586,1121.1735113561153,1.2128335713683487,1.2128335713683487
GRU_SAC,2,42,12,9012,1,0,0,224.5923481412353,787,nan,9.822559356689453,9.822559356689453,9.748214721679688,14.143471668151312,1111.6897062137723,1.282196753228785,1.282196753228785
GRU_SAC,2,42,13,9013,1,0,0,216.5601902289912,774,nan,9.897247314453125,9.897247314453125,5.0697784423828125,14.50233765335354,1121.6828962899745,1.250990867949008,1.250990867949008
GRU_SAC,2,42,14,9014,0,0,1,-20.217197178437132,2200,nan,11.681777000427246,11.681777000427246,12.5970458984375,8.484433430026877,1863.988559793681,2.0801883613228016,nan
