method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
SAC,1,3,0,9000,0,1,0,-189.8290888231586,156,nan,769.3265991210938,769.3265991210938,0.0,9.820356060297062,153.03390561416745,0.17505519528880142,nan
SAC,1,3,1,9001,0,0,1,-42.78379332885582,2200,nan,56.715057373046875,56.715057373046875,2.4273018836975098,8.182077367427674,1797.2330893985927,1.8087347391052382,nan
SAC,1,3,2,9002,1,0,0,196.3012445458159,889,nan,9.919120788574219,9.919120788574219,2.3722763061523438,11.764207848748956,1044.2189974151552,1.0822927264464803,1.0822927264464803
SAC,1,3,3,9003,1,0,0,200.09546160166218,944,nan,9.79095458984375,9.79095458984375,0.4064216613769531,12.766670752758698,1204.2090824618936,1.211351948166997,1.211351948166997
SAC,1,3,4,9004,1,0,0,212.28454348305064,771,nan,9.961128234863281,9.961128234863281,5.121250152587891,13.338023566009161,1027.7183777168393,1.1668694061178644,1.1668694061178644
SAC,1,3,5,9005,1,0,0,216.66384697965265,729,nan,9.846355438232422,9.846355438232422,11.468480110168457,14.142204816449325,1029.2817678637803,1.0777955258609326,1.0777955258609326
SAC,1,3,6,9006,1,0,0,215.12934100962192,801,nan,9.776190757751465,9.776190757751465,4.051342010498047,12.9134688986077,1033.0820001214743,1.1530504847079073,1.1530504847079073
SAC,1,3,7,9007,0,0,1,-41.41219107655681,2200,nan,21.458412170410156,21.458412170410156,2.460643768310547,7.937210273011164,1744.1060805097222,2.0253049072779734,nan
SAC,1,3,8,9008,1,0,0,208.86612220275936,763,nan,9.98134994506836,9.98134994506836,5.531520843505859,13.414908114767012,1021.7792200148106,1.0823876429225612,1.0823876429225612
SAC,1,3,9,9009,1,0,0,217.56723981057502,847,nan,9.725028991699219,9.725028991699219,5.405204772949219,12.639239072518198,1069.5212615281343,1.1766057414639994,1.1766057414639994
SAC,1,3,10,9010,1,0,0,180.97934090684163,742,nan,9.948259353637695,9.948259353637695,0.3670310974121094,13.500291429439967,1000.7892217263579,1.1763351254828287,1.1763351254828287
SAC,1,3,11,9011,0,0,1,-39.67332606324485,2200,nan,30.490781784057617,30.490781784057617,4.916348457336426,6.479585563594645,1421.4620492402464,1.6023507660989909,nan
SAC,1,3,12,9012,0,0,1,-27.51157817876443,2200,nan,29.810688018798828,29.810688018798828,7.337612152099609,8.04777040657672,1768.6814284548163,2.039955549093417,nan
SAC,1,3,13,9013,1,0,0,175.95081130128736,804,nan,9.85495662689209,9.85495662689209,1.4288597106933594,12.634783438485654,1014.8520777821541,1.1258105165503602,1.1258105165503602
SAC,1,3,14,9014,1,0,0,166.80272261443284,793,nan,9.925396919250488,9.925396919250488,2.0795059204101562,12.87469062911908,1020.0989271178842,1.1384178859034289,1.1384178859034289
SAC,1,3,15,9015,1,0,0,214.12660400792515,825,nan,9.847975730895996,9.847975730895996,9.018072128295898,13.097977461525888,1079.5812355391681,1.1157403059084137,1.1157403059084137
SAC,1,3,16,9016,1,0,0,185.07659531297855,826,nan,9.850658416748047,9.850658416748047,0.994384765625,12.941345357793873,1067.6914660260081,1.09948299259843,1.09948299259843
SAC,1,3,17,9017,0,0,1,-25.478756056054664,2200,nan,18.459976196289062,18.459976196289062,9.04289436340332,7.744456452727317,1701.1678126193583,1.9919966485002003,nan
SAC,1,3,18,9018,0,0,1,-28.013051038660606,2200,nan,23.13361167907715,23.13361167907715,8.652290344238281,7.288078497743065,1600.0366054363549,1.6013912980261158,nan
SAC,1,3,19,9019,1,0,0,213.6424902480748,736,nan,9.844385147094727,9.844385147094727,7.732233047485352,13.730328151308324,1008.6652383729815,1.085177754507027,1.085177754507027
SAC,1,3,20,9020,1,0,0,172.31874215401385,930,nan,9.918249130249023,9.918249130249023,0.45755767822265625,11.75858932175944,1092.2580139413476,1.2755836977845763,1.2755836977845763
SAC,1,3,21,9021,0,0,1,-30.244085400043524,2200,nan,16.66960906982422,16.66960906982422,6.30810546875,8.26979574068026,1817.0684265345335,1.8258900699768692,nan
SAC,1,3,22,9022,1,0,0,211.5593991027236,699,nan,9.932093620300293,9.932093620300293,9.774675369262695,14.416557814600813,1006.9812596589327,1.0183753281497645,1.0183753281497645
SAC,1,3,23,9023,1,0,0,208.95238939207638,780,nan,9.99514102935791,9.99514102935791,6.330898284912109,13.622458581282542,1061.751693110913,1.0680744146319543,1.0680744146319543
SAC,1,3,24,9024,1,0,0,218.7736305137525,975,nan,9.830286026000977,9.830286026000977,4.495647430419922,12.491926913872744,1215.7278071716428,1.220444365786932,1.220444365786932
SAC,1,3,25,9025,1,0,0,217.73138864673416,874,nan,9.88730239868164,9.88730239868164,6.627560615539551,13.059894852834654,1140.5242994315922,1.1508128500810872,1.1508128500810872
SAC,1,3,26,9026,0,0,1,-46.86416931967451,2200,nan,19.652835845947266,19.652835845947266,2.254619598388672,7.410392944257368,1627.068481048569,1.6845069393150842,nan
SAC,1,3,27,9027,0,1,0,-281.12862620127817,458,nan,682.5833129882812,682.5833129882812,0.0,8.227717399987592,375.9676567390561,0.4277959567749654,nan
SAC,1,3,28,9028,1,0,0,217.85747551717526,827,nan,9.874571800231934,9.874571800231934,12.27453327178955,12.601092413590349,1040.7508352920413,1.1598608415147003,1.1598608415147003
SAC,1,3,29,9029,1,0,0,188.4727625878246,902,nan,9.965635299682617,9.965635299682617,0.14111328125,12.395503909651298,1116.5388698615134,1.2155150623526674,1.2155150623526674
SAC,1,3,30,9030,0,0,1,-23.78139893419936,2200,nan,15.926108360290527,15.926108360290527,11.728540420532227,8.913626740683208,1958.965592160821,1.979206310800954,nan
SAC,1,3,31,9031,0,0,1,-40.46083601773405,2200,nan,17.839296340942383,17.839296340942383,2.841480255126953,7.704445670843125,1692.1521561257541,1.7980807778281074,nan
SAC,1,3,32,9032,1,0,0,212.15077950844346,661,nan,9.948760032653809,9.948760032653809,21.713695526123047,14.590024053238885,963.1083667874336,1.0258053999957817,1.0258053999957817
SAC,1,3,33,9033,1,0,0,161.25967765197257,923,nan,9.826213836669922,9.826213836669922,0.7113502025604248,12.582334057287689,1159.6875942125916,1.2433723025955155,1.2433723025955155
SAC,1,3,34,9034,0,0,1,-27.67182532764511,2200,nan,20.96026611328125,20.96026611328125,10.535072326660156,8.181671081117608,1797.8876955583692,1.8226864211989418,nan
SAC,1,3,35,9035,1,0,0,213.71712801551632,781,nan,9.814952850341797,9.814952850341797,5.061397552490234,13.754089164062284,1073.031131606549,1.1042986773410801,1.1042986773410801
SAC,1,3,36,9036,1,0,0,65.67154610741932,749,nan,9.863739967346191,9.863739967346191,0.03410559520125389,13.424276526365801,1004.2364516705275,1.0922016122314187,1.0922016122314187
SAC,1,3,37,9037,0,0,1,-30.429643645531428,2200,nan,19.14415740966797,19.14415740966797,4.215036392211914,7.545397119630467,1657.1716631799936,1.8818437529680128,nan
SAC,1,3,38,9038,1,0,0,174.09107496074262,1098,nan,9.9433012008667,9.9433012008667,1.6828498840332031,10.983006457379172,1204.100894011557,1.256795801369923,1.256795801369923
SAC,1,3,39,9039,0,0,1,-45.05773667523671,2200,nan,39.03728485107422,39.03728485107422,2.9089126586914062,8.188989095907997,1800.1452327240258,1.9133158074127765,nan
SAC,1,3,40,9040,0,0,1,-21.66143620876049,2200,nan,16.871295928955078,16.871295928955078,12.9052152633667,7.017330691015179,1540.0798144321889,1.7040702631910494,nan
SAC,1,3,41,9041,1,0,0,193.62962944289325,1342,nan,9.881217956542969,9.881217956542969,1.4231185913085938,9.543248903911266,1278.3939238376915,1.4022372140359143,1.4022372140359143
SAC,1,3,42,9042,0,1,0,-142.4100676819389,781,nan,73.07603454589844,73.07603454589844,0.0,12.579538295806294,981.6587349250913,1.0645705483082333,nan
SAC,1,3,43,9043,1,0,0,129.0110945966635,694,nan,9.83143138885498,9.83143138885498,0.2461090087890625,13.714307595226881,950.2313314378262,1.0828584971732778,1.0828584971732778
SAC,1,3,44,9044,1,0,0,210.40141401265203,739,nan,9.81306266784668,9.81306266784668,5.303936004638672,13.528306299681915,998.4161060415208,1.0785524760138039,1.0785524760138039
SAC,1,3,45,9045,1,0,0,218.72162278726546,801,nan,9.927777290344238,9.927777290344238,12.5184326171875,13.92236378055982,1114.2728535681963,1.1279697968700204,1.1279697968700204
SAC,1,3,46,9046,1,0,0,190.44788175036422,732,nan,9.842906951904297,9.842906951904297,0.9565353393554688,13.627928064820544,996.7838622704148,1.0802091879248545,1.0802091879248545
SAC,1,3,47,9047,0,0,1,-23.822774034954463,2200,nan,39.234561920166016,39.234561920166016,9.376500129699707,8.085430729815906,1777.0909983767197,2.044446702773335,nan
SAC,1,3,48,9048,1,0,0,209.33499710756865,731,nan,9.862432479858398,9.862432479858398,5.474224090576172,13.019890082192322,949.9208355881274,1.0607900336994855,1.0607900336994855
SAC,1,3,49,9049,1,0,0,187.6799184120884,839,nan,9.90737247467041,9.90737247467041,0.15706634521484375,12.205770036176789,1023.225090328604,1.1632750575821231,1.1632750575821231
SAC,1,3,50,9050,1,0,0,89.60390671296548,779,nan,9.90034294128418,9.90034294128418,0.0,13.61034974543825,1058.6900428757071,1.1645769096008622,1.1645769096008622
SAC,1,3,51,9051,1,0,0,55.492807118512516,927,nan,9.965065002441406,9.965065002441406,0.0366494320333004,12.503165567319884,1157.9612194895744,1.2420371425552506,1.2420371425552506
SAC,1,3,52,9052,0,0,1,-29.096808944767467,2200,nan,26.14903450012207,26.14903450012207,8.25444221496582,6.847483143196865,1503.1437279321253,1.753797758062069,nan
SAC,1,3,53,9053,0,0,1,-25.68316137946867,2200,nan,26.55013656616211,26.55013656616211,17.17205810546875,8.259328793639487,1815.0436920076609,1.9569657533086438,nan
SAC,1,3,54,9054,1,0,0,198.0118229141034,806,nan,9.697678565979004,9.697678565979004,2.015155792236328,13.679712368152277,1101.0502589792013,1.125050278687706,1.125050278687706
SAC,1,3,55,9055,1,0,0,217.45957040248817,779,nan,9.83531379699707,9.83531379699707,8.33224868774414,13.380140878116672,1041.0692018531263,1.0817669873047087,1.0817669873047087
SAC,1,3,56,9056,1,0,0,219.5890683414043,832,nan,9.912185668945312,9.912185668945312,7.738014221191406,12.666207258517925,1053.2204428464174,1.1802554486622139,1.1802554486622139
SAC,1,3,57,9057,0,0,1,-24.89122837899039,2200,nan,20.997989654541016,20.997989654541016,12.090657234191895,7.8712354011427275,1729.8041032515466,1.9606137149914342,nan
SAC,1,3,58,9058,1,0,0,214.25254225727775,749,nan,9.936077117919922,9.936077117919922,6.819225311279297,13.504680723867047,1009.8132935985923,1.0643968969714073,1.0643968969714073
SAC,1,3,59,9059,1,0,0,201.7175844057503,832,nan,9.842309951782227,9.842309951782227,0.6690673828125,12.964835186918767,1076.540086504072,1.1833652339025738,1.1833652339025738
SAC,1,3,60,9060,1,0,0,212.88260478810201,845,nan,9.830907821655273,9.830907821655273,3.6554107666015625,12.625239161062522,1065.8724678382277,1.206819464641149,1.206819464641149
SAC,1,3,61,9061,1,0,0,216.80344646751394,1452,nan,9.963899612426758,9.963899612426758,11.044111251831055,8.649207615819517,1253.8968966659158,1.4576730808100964,1.4576730808100964
SAC,1,3,62,9062,1,0,0,222.38017761312778,773,nan,9.750479698181152,9.750479698181152,9.530111312866211,13.170917557482577,1016.9297970384359,1.129984911586517,1.129984911586517
SAC,1,3,63,9063,0,0,1,-91.57378275142041,2200,nan,44.28197479248047,44.28197479248047,0.15327835083007812,8.62487797561017,1895.728310674429,1.990641474083258,nan
SAC,1,3,64,9064,0,0,1,-21.27749780987814,2200,nan,32.79798889160156,32.79798889160156,10.076797485351562,7.785087708966299,1709.6178337801248,1.7936870617839398,nan
SAC,1,3,65,9065,1,0,0,192.5375721880544,913,nan,9.84762954711914,9.84762954711914,2.0788002014160156,12.899946692151804,1177.067239806056,1.1805237880947819,1.1805237880947819
SAC,1,3,66,9066,0,0,1,-27.622016469101247,2200,nan,44.889862060546875,44.889862060546875,10.000028610229492,6.047234431633895,1328.584639228182,1.4714969552115649,nan
SAC,1,3,67,9067,1,0,0,198.4253673107516,812,nan,9.99075698852539,9.99075698852539,3.185285806655884,12.828203218177034,1040.3803598359227,1.0595772427712555,1.0595772427712555
SAC,1,3,68,9068,1,0,0,62.348955073447456,932,nan,9.960219383239746,9.960219383239746,0.1888696253299713,11.924984788178374,1110.5643431432545,1.1495204140752555,1.1495204140752555
SAC,1,3,69,9069,0,1,0,-142.3992049348185,761,nan,127.49652862548828,127.49652862548828,0.0,12.831633384453326,976.1052206531167,1.0091539659419249,nan
SAC,1,3,70,9070,1,0,0,215.13046277950787,702,nan,9.831714630126953,9.831714630126953,9.025675773620605,13.996584688156759,981.770888030529,1.143585028631844,1.143585028631844
