method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
TD3,2,3,0,9000,1,0,0,233.83559574211864,1133,nan,9.866469383239746,9.866469383239746,8.458782196044922,11.194535517945083,1266.9295267239213,1.4492382902189538,1.4492382902189538
TD3,2,3,1,9001,1,0,0,242.19072165629552,1227,nan,9.990296363830566,9.990296363830566,7.899833679199219,11.349950979080448,1391.3838916160166,1.4002882514473793,1.4002882514473793
TD3,2,3,2,9002,1,0,0,234.64286738741612,1146,nan,9.93890380859375,9.93890380859375,5.241338729858398,11.610028969367761,1329.1337249018252,1.377595855368303,1.377595855368303
TD3,2,3,3,9003,1,0,0,203.35112140536899,1107,nan,9.995084762573242,9.995084762573242,1.535858154296875,11.761766573493288,1301.000074185431,1.3087170636580878,1.3087170636580878
TD3,2,3,4,9004,1,0,0,207.55214393870315,997,nan,9.86839771270752,9.86839771270752,1.961639404296875,11.761566679300731,1171.104201067239,1.329669385340091,1.329669385340091
TD3,2,3,5,9005,1,0,0,232.42778381966278,1105,nan,9.854788780212402,9.854788780212402,1.2965927124023438,12.074877281250997,1333.4665806517005,1.3963176647870879,1.3963176647870879
TD3,2,3,6,9006,1,0,0,236.92384209302753,984,nan,9.918343544006348,9.918343544006348,7.685802459716797,12.015474220964967,1181.6414403393865,1.3188616541320743,1.3188616541320743
TD3,2,3,7,9007,1,0,0,215.45077239235889,898,nan,9.977564811706543,9.977564811706543,2.3899879455566406,12.561627621507325,1126.761463355273,1.308427019759148,1.308427019759148
TD3,2,3,8,9008,1,0,0,230.7065312753285,1161,nan,9.899245262145996,9.899245262145996,4.424934387207031,11.646616642275932,1350.63202586025,1.4307468641859928,1.4307468641859928
TD3,2,3,9,9009,1,0,0,147.52568234070162,1090,nan,9.990178108215332,9.990178108215332,0.0,11.678100521630103,1272.2264709249139,1.3996065566699896,1.3996065566699896
TD3,2,3,10,9010,1,0,0,228.00739357242026,943,nan,9.977843284606934,9.977843284606934,3.756511688232422,12.24273246905963,1153.657921679318,1.3560181370877749,1.3560181370877749
