method,model_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
GRU_SAC,1,1000,0.992,0.004,0.004,210.28544852084752,718.951,15.625342678095034,15.625342678095034,21.917069943210468,14.428772354406735,1028.3209671516947,1.1137998728850007,1.1166204379431668
GRU_SAC,2,1000,0.973,0.001,0.026,210.98219668442096,855.553,10.733706617355347,10.733706617355347,8.08038671848178,13.95392909428392,1168.2391915661563,1.2653273006222683,1.245257147319094
GRU_SAC,3,1000,0.0,0.004,0.996,-23.454116075506935,2191.782,32.74541760635376,32.74541760635376,17.1836023889184,9.598598936670893,2100.9869262768198,2.2805240194226615,nan
GRU_SAC,4,1000,0.937,0.002,0.061,208.58404746643205,988.883,14.317760870933533,13.516803924560547,10.76825482590124,13.686701219145897,1289.4353204648507,0.7262690104087738,1.3837446342128705
GRU_SAC,5,1000,0.99,0.005,0.005,198.65704073750263,1050.495,12.05662553501129,12.032097742080689,6.268548237684882,10.977241672797165,1106.5146709380613,0.8411864280937834,1.1973122586943652
HW_GA_SAC,1,1000,0.952,0.007,0.041,226.29861218410034,1069.182,33.90432388591766,33.90432388591766,16.46905234188773,14.624901452089183,1524.140025831971,1.6512568886848147,1.6651535874549754
HW_GA_SAC,2,1000,0.99,0.005,0.005,217.3902577701932,955.253,13.026942675590515,13.026942675590515,5.120491202354431,13.915325462223985,1324.2658020981028,1.4341518403455422,1.4354290757246757
HW_GA_SAC,3,1000,0.975,0.023,0.002,189.8615421283544,827.652,19.11449144935608,19.11449144935608,6.159579214581289,13.06325708157924,1067.931427154324,1.1564880028756177,1.1670112507527068
HW_GA_SAC,4,1000,0.969,0.023,0.008,208.62944766216864,801.78,27.73996512889862,27.54879410266876,22.484302108377218,14.612877377120553,1166.0412040853862,0.9082906465538625,1.2792761988321737
HW_GA_SAC,5,1000,0.907,0.001,0.092,192.38790840157807,1105.14,12.78954303073883,12.030185527801514,14.259024464488029,12.318961393743162,1301.152013364392,0.7323907995645768,1.3396536155291519
LSTM_SAC,1,1000,0.0,0.0,1.0,-4.847721784445803,2200.0,61.43130263519287,61.43130263519287,13.762765792489052,10.400172937900113,2286.8176245185577,2.481205158430611,nan
LSTM_SAC,2,1000,0.976,0.01,0.014,198.6899685154439,730.227,17.768492089271547,17.768492089271547,18.72575116440188,14.477598529419403,1043.4695675079934,1.1288497627721255,1.1255922407606485
LSTM_SAC,3,1000,0.996,0.003,0.001,246.56149273862167,1371.384,13.013111993789673,13.013111993789673,10.220831894010306,11.078447577108083,1518.7357905399479,1.6452310779712458,1.6497594344821809
LSTM_SAC,4,1000,0.985,0.015,0.0,202.24860481218548,709.636,19.453748401641846,19.42379037857056,10.679410768918693,14.000569874312346,993.5383400606804,0.9630806615400229,1.0836842959616786
LSTM_SAC,5,1000,0.734,0.214,0.052,111.54137622820475,969.728,42.856672917366026,14.838131044387817,6.435885563150048,13.446875521447557,1185.574499787121,0.8434981139193883,1.081308110789447
