method,city_split,model_seeds,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,timeout_rate_mean,timeout_rate_std,reward_mean_mean,reward_mean_std,steps_mean_mean,steps_mean_std,final_distance_mean_mean,final_distance_mean_std,best_distance_mean_mean,best_distance_mean_std,min_obstacle_distance_mean_mean,min_obstacle_distance_mean_std,avg_speed_mean_mean,avg_speed_mean_std,path_length_mean_mean,path_length_mean_std,path_efficiency_mean_mean,path_efficiency_mean_std,successful_path_stretch_mean_mean,successful_path_stretch_mean_std
GRU_SAC,city1_4_unseen,2,0.9668749999999999,0.03447145558284417,0.0025,0.0,0.030625,0.034471455582844195,204.13827498624994,6.836497052129365,1017.300625,47.138389684324665,13.667035447955133,1.8754081487589203,13.294682941436768,1.3921816058289571,8.198402579682734,2.8878628686395635,12.35153816374146,1.9096441659495171,1198.1885511069108,126.94093303616513,0.7839815765901039,0.08022281168533854,1.292726985547993,0.1329718441047966
GRU_SAC,city42_train_replay,2,0.95,0.04949747468305829,0.0075,0.010606601717798213,0.0425,0.06010407640085655,201.5496205648371,7.751280666035369,1029.2424999999998,29.27775627502898,11.267824223041535,0.49268805102001095,10.693522400856018,0.3194973748103278,9.79839734023437,4.3574137348296,12.25370457489181,1.94080942907106,1197.1207740796344,138.95842635253945,0.7827122898959773,0.08540317986622842,1.2815358703178883,0.12701987247342644
HW_GA_SAC,city1_4_unseen,2,0.935,0.04065863991822648,0.014375,0.020329319959113242,0.050625,0.06098795987733972,198.97850640399673,9.47704205719861,954.171875,223.54738945474463,22.173977676033974,14.056410305318245,21.712937225699424,14.473383284496212,17.521527573600178,5.90586101045306,13.4484016465597,1.6356836906973302,1233.1515434905896,105.37801415799706,0.8340695255145338,0.1499886489924312,1.3116944051045336,0.04544110398232161
HW_GA_SAC,city42_train_replay,2,0.95,0.056568542494923775,0.0025,0.0035355339059327377,0.0475,0.05303300858899107,206.6293645433799,19.514344511561596,950.6125,178.3500078847769,12.627859694957733,3.3679169852229736,12.095700173377992,3.0269663486431755,21.772206137762403,5.457303953868532,13.535990340920474,1.5674829738024465,1235.3768696620898,56.17679063194975,0.7654255132379617,0.021945277109271546,1.3005964970779988,0.031729135083621865
LSTM_SAC,city1_4_unseen,2,0.8574999999999999,0.17500892834367046,0.11624999999999999,0.13788582233137675,0.02625,0.037123106012293745,155.979003192053,62.815686478961396,841.380625,187.8614779752125,32.650636677742,15.295430803981205,18.612663716077805,4.504302143469478,8.185891887662,2.766446451202842,13.706366756897662,0.39013576766009656,1090.0979378604522,140.19118645730586,0.9078733236442431,0.09014327915099424,1.0839142873078011,0.0021085964299512685
LSTM_SAC,city42_train_replay,2,0.8674999999999999,0.1873832970144351,0.1075,0.1520279579551077,0.025,0.03535533905932738,160.55893983276363,69.43573625600962,832.8875,168.1181727610076,25.173506586551667,21.56010990740251,11.204148693084717,1.8044545168178996,10.044673279523849,3.937341440863872,13.793146461809068,0.3970620874364826,1087.3903481776886,118.18560804872561,0.8849536440715571,0.06221503506659218,1.0768921980361505,5.2602758099800026e-05
PPO,city1_4_unseen,2,0.0,0.0,0.586875,0.5842469779553849,0.413125,0.5842469779553849,-171.35924566458073,48.349665474344754,1061.655,1351.4242479706825,853.0542312097549,97.23697954586731,828.5832972383499,114.2744021396694,5.383976932439891,7.601313329645414,8.118597451433322,1.7657522829586936,730.3168097230421,921.691000443258,7.088085691662053,8.923273545425275,nan,0.0
PPO,city42_train_replay,2,0.0,0.0,0.5700000000000001,0.6081118318204309,0.43,0.6081118318204308,-163.67685668098713,57.110675737605476,1071.835,1347.2081237878576,860.6316395950317,75.42988278416375,826.0648216629029,103.86427741058569,6.512926063139457,9.199169899731766,8.175580015184353,1.809346140442151,739.2356671494529,923.5806396367827,6.709507450406362,8.423824975456814,nan,0.0
SAC_Large,city1_4_unseen,2,0.9837499999999999,0.010606601717798222,0.0025,0.0017677669529663688,0.01375,0.008838834764831846,221.17231337201514,13.454025957779503,940.65875,162.20145676942911,11.698331943750382,1.2201998394762286,11.604602257609368,1.1470157625945308,14.781995869497768,10.370507026886685,14.631014892800348,0.9634091258840084,1365.0221028938704,346.8220763929892,0.7042346615999222,0.17940114507022534,1.4708579878104866,0.37803766417986884
SAC_Large,city42_train_replay,2,0.975,0.014142135623730963,0.005,0.0,0.02,0.01414213562373095,219.28682260031061,9.94723500967318,963.2075,169.65259447618246,13.513231482505798,1.2444168437475738,13.418736062049867,1.2708136172748188,14.946052515637131,8.174625130537775,14.481601570062375,1.0215341895594723,1372.1776808365871,363.9722955800471,0.714031287771651,0.16560404878675208,1.4696135299647768,0.3715500615493975
