method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
GRU_SAC,4,3,0,1313000,1,0,0,199.51241197925242,977,960.3966674804688,9.87702751159668,9.87702751159668,4.442543983459473,13.617723164075228,1329.4665733900376,0.7223924893662659,1.384289032236854
GRU_SAC,4,3,1,1313001,1,0,0,229.79618531435105,821,901.265625,9.995854377746582,9.995854377746582,26.295621871948242,14.339737341334265,1176.8864525434992,0.7658050808998399,1.3058153111559083
GRU_SAC,4,3,2,1313002,1,0,0,228.1936029315082,1704,992.4136962890625,9.990954399108887,9.990954399108887,5.575050354003906,9.218576090646462,1566.90326806238,0.633359899438,1.578881139913233
GRU_SAC,4,3,3,1313003,1,0,0,234.56142794807062,934,968.13671875,9.941802024841309,9.941802024841309,21.520404815673828,14.404830286921475,1344.9790428751294,0.7198154676673901,1.3892449452921127
GRU_SAC,4,3,4,1313004,1,0,0,234.411838629969,870,896.790771484375,9.918830871582031,9.918830871582031,23.938613891601562,14.61893320885198,1271.3594444901405,0.7053794073508609,1.4176767702301134
GRU_SAC,4,3,5,1313005,1,0,0,227.49243943232858,792,888.8256225585938,9.871648788452148,9.871648788452148,19.9073543548584,14.6802751525785,1162.2369175634515,0.7647542502968797,1.3076096008774023
GRU_SAC,4,3,6,1313006,1,0,0,216.4985751601314,996,942.003662109375,9.927342414855957,9.927342414855957,1.4560050964355469,12.838715037428232,1277.1717557385962,0.7375700706477091,1.355803387089492
GRU_SAC,4,3,7,1313007,1,0,0,231.3421539464636,838,896.17236328125,9.977029800415039,9.977029800415039,19.783226013183594,14.439256677693,1209.5325519314765,0.7409245512658355,1.349665088424383
GRU_SAC,4,3,8,1313008,1,0,0,198.72407370659724,2046,985.8314819335938,9.971330642700195,9.971330642700195,1.321929931640625,7.638185730952322,1556.9649525580217,0.6331751272332226,1.579341886611509
GRU_SAC,4,3,9,1313009,1,0,0,230.69043687484353,829,886.4917602539062,9.91800594329834,9.91800594329834,22.7548828125,14.35086782792509,1188.6939229942402,0.7457695737359311,1.3408967531224183
GRU_SAC,4,3,10,1313010,1,0,0,225.37194772004148,752,866.3175048828125,9.877899169921875,9.877899169921875,15.02084732055664,14.648173889581193,1101.1037627672747,0.7867719048617167,1.271016407450086
GRU_SAC,4,3,11,1313011,1,0,0,210.10711325739177,784,861.888427734375,9.932754516601562,9.932754516601562,5.008537292480469,14.010459760165944,1097.5300830234235,0.7852982265051778,1.2734015769401543
GRU_SAC,4,3,12,1313012,0,0,1,-63.58274867797714,2200,986.000244140625,32.847633361816406,27.41954231262207,0.18190765380859375,6.962528172846545,1529.900176032875,0.6444866531732706,nan
GRU_SAC,4,3,13,1313013,1,0,0,225.43349034384082,970,996.0119018554688,9.984745025634766,9.984745025634766,4.869499206542969,14.376797279008885,1394.0233910798952,0.7144872232623711,1.3996051537968286
GRU_SAC,4,3,14,1313014,1,0,0,212.3352076639055,1938,953.8843383789062,9.871273040771484,9.871273040771484,2.1112060546875,7.796647373944428,1505.9453897748804,0.6334123035640089,1.578750514275329
GRU_SAC,4,3,15,1313015,1,0,0,235.2760923848125,968,998.18115234375,9.91944408416748,9.91944408416748,21.465721130371094,14.34220133777246,1387.741551021496,0.7192846186734149,1.3902702407905119
GRU_SAC,4,3,16,1313016,1,0,0,231.7406851791431,922,983.0646362304688,9.9844331741333,9.9844331741333,19.270915985107422,14.349475545828875,1321.9832070792347,0.7436286867837252,1.34475715874425
GRU_SAC,4,3,17,1313017,1,0,0,234.05933297385207,920,956.3973388671875,9.95202922821045,9.95202922821045,20.161911010742188,14.455952090219311,1328.672164839883,0.7198143862541457,1.3892470324244517
GRU_SAC,4,3,18,1313018,1,0,0,231.7408359173967,823,868.0079956054688,9.86296558380127,9.86296558380127,12.816581726074219,14.377801047278204,1182.8171974894026,0.733847966911426,1.3626800714713951
GRU_SAC,4,3,19,1313019,1,0,0,218.62905863674104,909,945.2718505859375,9.984406471252441,9.984406471252441,2.125812530517578,13.774267999514757,1250.803303887409,0.7557318146251284,1.323220725458062
GRU_SAC,4,3,20,1313020,1,0,0,235.04026073384847,840,855.312744140625,9.97102165222168,9.97102165222168,19.982955932617188,14.307118977677254,1200.7924066351625,0.7122902671722967,1.403922033035598
GRU_SAC,4,3,21,1313021,1,0,0,184.41255594519782,950,902.512451171875,9.958027839660645,9.958027839660645,4.484856128692627,13.12295302453794,1245.4558456368902,0.72464427730102,1.3799874384222814
GRU_SAC,4,3,22,1313022,0,1,0,-212.12825718867768,360,935.5189819335938,669.7943725585938,669.7677001953125,0.0,10.869764521718025,390.9182722318693,2.393131885579142,nan
GRU_SAC,4,3,23,1313023,1,0,0,197.699095624047,1034,935.4728393554688,9.971375465393066,9.971375465393066,3.6938552856445312,13.01006942485933,1344.1894198372543,0.6959382550925968,1.436909083072243
GRU_SAC,4,3,24,1313024,1,0,0,235.52493307983147,886,890.34130859375,9.995983123779297,9.995983123779297,16.127281188964844,14.230838606239173,1259.6772918714075,0.706801110362986,1.4148251684076136
GRU_SAC,4,3,25,1313025,1,0,0,200.05252016865865,2127,999.3516235351562,9.974342346191406,9.974342346191406,2.632080316543579,8.26384432201213,1753.312010562459,0.5699793405365234,1.754449554362263
GRU_SAC,4,3,26,1313026,1,0,0,233.72082481294797,890,917.6240234375,9.925201416015625,9.925201416015625,10.387336730957031,14.433855911151747,1284.127932503627,0.7145892556424926,1.3994053116582228
