method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
sac,4,2,0,1312000,1,0,0,223.22317319022196,816,983.4966430664062,9.991622924804688,9.991622924804688,11.530807495117188,15.237281575945078,1242.0666035067568,0.7918227897680176,1.26290883884887
sac,4,2,1,1312001,1,0,0,229.04469856550452,860,943.80078125,9.9816255569458,9.9816255569458,44.72624969482422,14.691678496640781,1262.452897469223,0.7475928671414125,1.3376264594708112
sac,4,2,2,1312002,1,0,0,227.6648940582495,839,923.03076171875,9.996895790100098,9.996895790100098,20.314970016479492,14.637411916710622,1226.9873701943304,0.7522740528067214,1.329302793668102
sac,4,2,3,1312003,1,0,0,226.71985535576994,828,935.7022705078125,9.990796089172363,9.990796089172363,32.883575439453125,14.887499404558238,1231.656084174317,0.7597106712910794,1.3162905798079212
sac,4,2,4,1312004,1,0,0,224.58529109815436,831,942.9204711914062,9.860868453979492,9.860868453979492,16.745208740234375,14.413538350525316,1197.2482003491768,0.787573095467092,1.2697234145700755
sac,4,2,5,1312005,1,0,0,226.35093628560816,828,958.491943359375,9.976292610168457,9.976292610168457,20.756629943847656,15.17012209923947,1255.723960899967,0.763298283065676,1.3101038246590129
sac,4,2,6,1312006,1,0,0,221.39669314577262,834,925.1934814453125,9.892801284790039,9.892801284790039,6.548989772796631,14.577150333985436,1215.199038583277,0.7613513935329776,1.313453956338868
sac,4,2,7,1312007,1,0,0,214.32328854555954,817,958.591064453125,9.93877124786377,9.93877124786377,7.048226356506348,14.602820381394507,1191.3515380801377,0.8046248599283247,1.2428151922736754
sac,4,2,8,1312008,1,0,0,228.06964423301113,834,930.4930419921875,9.938029289245605,9.938029289245605,28.23534393310547,14.781187976292856,1231.5481275740128,0.7555474456569845,1.3235436182706597
sac,4,2,9,1312009,1,0,0,228.7063791995878,806,860.0568237304688,9.95569133758545,9.95569133758545,34.838016510009766,14.59745258965504,1175.7876131294356,0.7314729413089931,1.3671045687766243
sac,4,2,10,1312010,1,0,0,223.37338250977467,780,913.3765869140625,9.995901107788086,9.995901107788086,10.907817840576172,14.684327931587513,1144.9327058859562,0.797755695350921,1.253516591392199
sac,4,2,11,1312011,1,0,0,223.60727986496403,815,974.4583129882812,9.9819974899292,9.9819974899292,27.587730407714844,15.081297469577907,1228.546663281747,0.7931797318835786,1.2607483018070589
sac,4,2,12,1312012,1,0,0,229.17645738864536,793,866.401611328125,9.991072654724121,9.991072654724121,40.81022262573242,14.828986179783545,1175.368219609961,0.7371320722076655,1.3566089954613711
