method,model_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
GRU_SAC,4,1000,0.937,0.002,0.061,208.58404746643217,988.883,14.317760870933533,13.516803924560547,10.76825482590124,13.686701219145894,1289.4353204648512,0.7262690104087745,1.3837446342128707
GRU_SAC,5,1000,0.99,0.005,0.005,198.65704073750257,1050.495,12.05662553501129,12.032097742080689,6.268548237684882,10.977241672797154,1106.5146709380608,0.841186428093783,1.197312258694365
HW_GA_SAC,4,1000,0.969,0.023,0.008,208.62944766216847,801.78,27.73996512889862,27.54879410266876,22.484302108377218,14.61287737712054,1166.041204085387,0.9082906465538614,1.279276198832174
HW_GA_SAC,5,1000,0.907,0.001,0.092,192.387908401578,1105.14,12.78954303073883,12.030185527801514,14.259024464488029,12.318961393743168,1301.1520133643935,0.7323907995645768,1.3396536155291527
LSTM_SAC,4,1000,0.985,0.015,0.0,202.24860481218542,709.636,19.453748401641846,19.42379037857056,10.679410768918693,14.000569874312323,993.5383400606788,0.9630806615400231,1.0836842959616786
LSTM_SAC,5,1000,0.734,0.214,0.052,111.54137622820474,969.728,42.856672917366026,14.838131044387817,6.435885563150048,13.446875521447557,1185.574499787121,0.8434981139193886,1.0813081107894484
PPO,4,1000,0.0,0.167,0.833,-134.39539758941237,2018.696,788.8967744674683,748.7476114120483,11.210678003110079,6.87525344855888,1384.101773117912,0.7732955031939018,nan
PPO,5,1000,0.0,1.0,0.0,-205.2501381463113,108.686,920.2426513061523,907.4115928344727,0.00885551404953003,9.384734479808165,80.09938929873586,13.251444583627928,nan
SAC_Large,4,1000,0.986,0.002,0.012,229.8127130747581,1060.916,11.547049704551696,11.498299104690552,7.792295951589942,15.290585479558723,1614.1188678222968,0.5812894246710253,1.7370294482677426
SAC_Large,5,1000,0.978,0.004,0.018,211.77771736059057,829.421,12.575573998451233,12.436558932304383,21.83731844586134,13.911678976946805,1118.7875691425309,0.8310985489975113,1.2042183713561483
sac,4,1000,0.974,0.009,0.017,212.38640517041483,854.667,24.120308346748352,23.911040013313293,20.70862036459148,14.416984747797875,1207.096691480235,0.7845119933266332,1.308741033917869
sac,5,1000,0.945,0.018,0.037,206.00651676269578,855.501,16.35963677406311,15.397486347198486,26.152859505174217,14.46922742398288,1201.6047393306897,0.8068985206798137,1.281734567989913
td3,4,1000,0.241,0.001,0.758,49.653531750270986,2085.847,31.5209970703125,24.482698255538942,3.7019692812860012,8.069913051054613,1666.3993425367535,0.5600191802965909,1.6696268620840902
td3,5,1000,0.943,0.0,0.057,212.2462295874717,979.093,25.47588212108612,24.830916975975036,20.248883954793214,13.931773718946115,1292.458494942572,0.7307378987634108,1.3994596770483816
