variant,seed,episode,eval_seed,reward,steps,success,collision,timeout,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed
wo_handcrafted_safety,1,0,53000,237.50080907564754,1409,True,False,False,992.1603393554688,9.92955493927002,9.92955493927002,10.51214599609375,14.600154457234423
wo_handcrafted_safety,1,1,53001,131.74807265549683,1321,True,False,False,905.8292236328125,9.871411323547363,9.871411323547363,1.5908279418945312,14.701082152277118
wo_handcrafted_safety,1,2,53002,242.44904529030205,1546,True,False,False,999.43017578125,9.887113571166992,9.887113571166992,15.56328010559082,14.068103858196258
wo_handcrafted_safety,1,3,53003,220.1813323810114,1345,True,False,False,963.1393432617188,9.902771949768066,9.902771949768066,4.416812419891357,14.174897985653363
wo_handcrafted_safety,1,4,53004,246.74699477503884,1326,True,False,False,857.6984252929688,9.928793907165527,9.928793907165527,14.666900634765625,14.791838554685112
wo_handcrafted_safety,1,5,53005,235.74110428567673,1318,True,False,False,934.170166015625,9.944243431091309,9.944243431091309,8.880989074707031,14.92846785402081
wo_handcrafted_safety,1,6,53006,187.11283513041818,1359,True,False,False,974.5997924804688,9.981581687927246,9.981581687927246,5.846771240234375,15.167544800363277
wo_handcrafted_safety,1,7,53007,3.564754694066508,2200,False,False,True,860.0551147460938,32.937686920166016,10.1906099319458,6.70330810546875,12.494176041023298
wo_handcrafted_safety,1,8,53008,248.5857558443368,1275,True,False,False,872.6439819335938,9.984294891357422,9.984294891357422,6.916456699371338,14.672363383442748
wo_handcrafted_safety,1,9,53009,238.27966788164318,1236,True,False,False,954.9031372070312,9.950188636779785,9.950188636779785,6.799941539764404,14.690106791489333
wo_handcrafted_safety,1,10,53010,237.3086026903124,1387,True,False,False,988.7879028320312,9.972652435302734,9.972652435302734,11.54083251953125,14.498937451010052
wo_handcrafted_safety,1,11,53011,231.89913781165427,1362,True,False,False,891.814453125,9.9783296585083,9.9783296585083,7.84661865234375,14.49741327108353
wo_handcrafted_safety,1,12,53012,235.0634553119498,1397,True,False,False,980.7216796875,9.920085906982422,9.920085906982422,9.324356079101562,14.05251995883162
wo_handcrafted_safety,1,13,53013,230.47288346112703,1360,True,False,False,992.5381469726562,9.959402084350586,9.959402084350586,9.592071533203125,14.733261030079687
wo_handcrafted_safety,1,14,53014,234.36969842245566,1329,True,False,False,925.9822998046875,9.931944847106934,9.931944847106934,6.22235107421875,14.793997201258478
wo_handcrafted_safety,1,15,53015,242.98798296400162,1292,True,False,False,850.9417114257812,9.883196830749512,9.883196830749512,12.349331855773926,14.922514170731183
wo_handcrafted_safety,1,16,53016,253.92432354239114,1318,True,False,False,852.7048950195312,9.927666664123535,9.927666664123535,24.329559326171875,14.856841356918917
wo_handcrafted_safety,1,17,53017,205.6156951302862,1357,True,False,False,989.47314453125,9.927635192871094,9.927635192871094,3.838459014892578,14.355696540438435
wo_handcrafted_safety,1,18,53018,208.32565195309832,1489,True,False,False,976.6951293945312,9.963883399963379,9.963883399963379,4.056602478027344,14.686258324006007
wo_handcrafted_safety,1,19,53019,253.94919353307859,1321,True,False,False,899.7825927734375,9.957660675048828,9.957660675048828,7.402591705322266,15.082517458533447
wo_handcrafted_safety,2,0,54000,-218.0986180294939,2200,False,False,True,875.9276733398438,29.110191345214844,17.154361724853516,0.5448722839355469,8.057197354544293
wo_handcrafted_safety,2,1,54001,89.91253057295107,837,True,False,False,922.4310913085938,9.998912811279297,9.998912811279297,0.54827880859375,13.91258950202126
wo_handcrafted_safety,2,2,54002,191.0485750954482,1269,True,False,False,993.50048828125,9.947164535522461,9.947164535522461,2.4983177185058594,10.932609365059692
wo_handcrafted_safety,2,3,54003,195.59937504088515,1138,True,False,False,992.4332885742188,9.950072288513184,9.950072288513184,4.446383953094482,12.26906863965343
wo_handcrafted_safety,2,4,54004,216.1902066888997,737,True,False,False,970.287353515625,9.782501220703125,9.782501220703125,11.616072654724121,15.328628265954746
wo_handcrafted_safety,2,5,54005,-160.228929671256,319,False,True,False,924.173583984375,582.4373168945312,582.4284057617188,0.0,14.66957831775133
wo_handcrafted_safety,2,6,54006,-189.32012512155333,2200,False,False,True,923.8221435546875,41.298824310302734,12.231416702270508,1.0492134094238281,8.155025852369992
wo_handcrafted_safety,2,7,54007,-112.63045506238134,2200,False,False,True,973.698974609375,25.772167205810547,14.000917434692383,1.0055274963378906,8.329619204347784
wo_handcrafted_safety,2,8,54008,209.91462531492175,1749,True,False,False,883.6348266601562,9.999845504760742,9.999845504760742,7.809486389160156,8.644982490660873
wo_handcrafted_safety,2,9,54009,-30.29216431333947,2200,False,False,True,952.5206909179688,28.59878158569336,14.095541954040527,6.989727020263672,7.932724426239729
wo_handcrafted_safety,2,10,54010,52.41460042296828,719,True,False,False,897.4662475585938,9.948637008666992,9.948637008666992,0.02893511764705181,14.94386200787129
wo_handcrafted_safety,2,11,54011,-29.824973474463008,2200,False,False,True,897.2638549804688,32.370391845703125,10.942585945129395,9.763362884521484,7.859104494100268
wo_handcrafted_safety,2,12,54012,-112.29482367696852,2200,False,False,True,928.97802734375,22.95855712890625,16.95356559753418,0.0,7.8508650324154985
wo_handcrafted_safety,2,13,54013,-168.36979698885037,797,False,True,False,932.695068359375,21.902956008911133,10.002293586730957,0.0,14.527788326910777
wo_handcrafted_safety,2,14,54014,209.52255384147827,1024,True,False,False,891.0576171875,9.988633155822754,9.988633155822754,8.818161010742188,11.129679976438638
wo_handcrafted_safety,2,15,54015,-221.4047448045959,445,False,True,False,856.9158935546875,291.4052429199219,291.4052429199219,0.0,14.838688928625556
wo_handcrafted_safety,2,16,54016,-155.69761765187556,2200,False,False,True,894.9524536132812,29.85301399230957,16.389572143554688,0.0,7.850208168273622
wo_handcrafted_safety,2,17,54017,185.85593759438558,674,True,False,False,913.1389770507812,9.884733200073242,9.884733200073242,3.8755111694335938,15.249524985293606
wo_handcrafted_safety,2,18,54018,-86.2663809761697,2200,False,False,True,995.1340942382812,29.253217697143555,17.926008224487305,2.253643035888672,8.172072868482633
wo_handcrafted_safety,2,19,54019,159.198252764071,769,True,False,False,948.9715576171875,9.993083000183105,9.993083000183105,1.1288130283355713,14.682515267122861
wo_handcrafted_safety,3,0,55000,222.33023361432387,850,True,False,False,943.3927612304688,9.992141723632812,9.992141723632812,14.376449584960938,14.06006814956665
wo_handcrafted_safety,3,1,55001,220.35265108068197,791,True,False,False,861.066650390625,9.946647644042969,9.946647644042969,27.10101318359375,14.123012656885212
wo_handcrafted_safety,3,2,55002,-111.01342530333467,951,False,True,False,993.7262573242188,47.38589096069336,10.079668045043945,0.0,13.761134264158274
wo_handcrafted_safety,3,3,55003,223.6575802389493,825,True,False,False,876.3067016601562,9.975085258483887,9.975085258483887,18.464553833007812,13.754641757155909
