method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch,city_seed,city_split
TD3,1,clean,clean,0,621000,0.0,0.0,0.0,1,0,0,204.12786975241846,668,868.2344360351562,9.88240909576416,9.88240909576416,5.332347869873047,14.961642952379352,998.652504826799,0.8694059563649101,1.1502106612900596,,
TD3,1,clean,clean,1,621001,0.0,0.0,0.0,0,0,1,-32.12146884025894,2200,925.5282592773438,20.268754959106445,15.935101509094238,14.549259185791016,6.590781348103826,1446.0604639267942,0.6400342740607546,nan,,
TD3,1,clean,clean,2,621002,0.0,0.0,0.0,1,0,0,193.97434681373593,779,956.6654052734375,9.981840133666992,9.981840133666992,3.091175079345703,13.608053215661005,1059.3332648311152,0.9030825680962208,1.1073184615976919,,
TD3,1,clean,clean,3,621003,0.0,0.0,0.0,1,0,0,194.25498853042055,710,876.954833984375,9.983770370483398,9.983770370483398,2.26263427734375,14.551884848467061,1032.5918649750922,0.849275365931271,1.177474397721936,,
TD3,1,clean,clean,4,621004,0.0,0.0,0.0,1,0,0,200.32133826003485,672,877.9403686523438,9.964437484741211,9.964437484741211,6.212581634521484,14.536387135319057,976.4592004606928,0.8991060437938749,1.1122158580765313,,
TD3,1,clean,clean,5,621005,0.0,0.0,0.0,1,0,0,198.62930079164028,1939,987.8280639648438,9.995237350463867,9.995237350463867,2.684906005859375,7.79186467941641,1507.0677824578618,0.655463593252458,1.5256377475336613,,
TD3,1,clean,clean,6,621006,0.0,0.0,0.0,0,0,1,-83.22955087410077,2200,982.4016723632812,21.330339431762695,14.866923332214355,0.9022369384765625,7.250885359536518,1591.1800545657977,0.6174044662917546,nan,,
TD3,1,clean,clean,7,621007,0.0,0.0,0.0,1,0,0,195.9343235912253,699,882.457763671875,9.998968124389648,9.998968124389648,2.224346399307251,14.498372018593063,1012.8320421287773,0.8712774941609462,1.1477399642498691,,
TD3,1,clean,clean,8,621008,0.0,0.0,0.0,1,0,0,197.4423067606587,2081,932.271240234375,9.958383560180664,9.958383560180664,2.934814453125,6.954421750016078,1442.2798275288546,0.6463872144919975,1.5470603031433883,,
TD3,1,clean,clean,9,621009,0.0,0.0,0.0,0,0,1,-58.02845241512473,2200,935.4238891601562,13.627765655517578,12.337440490722656,1.673675537109375,7.403368660211563,1624.310017909365,0.5758899956574374,nan,,
TD3,1,clean,clean,10,621010,0.0,0.0,0.0,0,0,1,-64.78868557572817,2200,946.0239868164062,15.119309425354004,12.66052532196045,1.139923095703125,7.040709953660315,1545.3357448277397,0.6121802268424591,nan,,
