method,condition,condition_group,model_seeds,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,timeout_rate_mean,timeout_rate_std,reward_mean_mean,reward_mean_std,steps_mean_mean,steps_mean_std,final_distance_mean_mean,final_distance_mean_std,best_distance_mean_mean,best_distance_mean_std,min_obstacle_distance_mean_mean,min_obstacle_distance_mean_std,avg_speed_mean_mean,avg_speed_mean_std,path_length_mean_mean,path_length_mean_std,path_efficiency_mean_mean,path_efficiency_mean_std,successful_path_stretch_mean_mean,successful_path_stretch_mean_std
SAC,clean,clean,5,0.9099999999999999,0.151657508881031,0.01,0.022360679774997897,0.07999999999999999,0.15247950681976907,192.5276775442735,47.811582020671665,908.2700000000001,235.42741078727428,19.220356731414796,18.217374344725794,18.399630088806152,18.164900769090284,21.82404121875763,7.40450826462804,13.528977014580303,1.540454886346903,1155.9961043998223,91.8970294634789,0.8689213842199177,0.1289398067764531,1.2077195066852977,0.09005774559126888
SAC,latency_10ms,latency_curve,5,0.9199999999999999,0.1788854381999832,0.01,0.022360679774997897,0.06999999999999999,0.15652475842498528,193.33978953082388,58.16612980095267,895.8799999999999,213.06348408396968,16.59326901435852,14.898916282517602,15.69851243019104,12.898180611669357,21.70504839606583,7.786366361610351,13.587222134116223,1.5199906585431762,1163.7563776728325,92.02892451331623,0.8175715852698918,0.05325577906082683,1.208655558575803,0.09438374387757383
SAC,latency_30ms,latency_curve,5,0.9199999999999999,0.1788854381999832,0.01,0.022360679774997897,0.06999999999999999,0.15652475842498528,193.30626721952427,57.8427387088552,899.1700000000001,212.07251000542243,16.452399444580077,14.584045942553129,15.713344783782961,12.931470201259522,21.545618454366924,7.7715149585120065,13.577942863918006,1.508091324228348,1166.877121356383,94.48822265350682,0.8163509926922478,0.05428951183683159,1.211380165363472,0.09762300207108981
SAC,latency_50ms,latency_curve,5,0.93,0.15652475842498526,0.0,0.0,0.06999999999999999,0.15652475842498528,196.19571238037167,51.803431802496455,903.0799999999999,224.19702997586742,10.86854953765869,2.0929837575953414,10.190330896377564,0.5765604089690278,21.711739140227436,7.771692317151958,13.595851006083418,1.4814024300970277,1171.6493392776233,101.88852115844293,0.8048918507938145,0.0580655976181196,1.2106107143475708,0.09570366096118973
SAC,mild_noise,noise_curve,5,0.9099999999999999,0.151657508881031,0.01,0.022360679774997897,0.07999999999999999,0.15247950681976907,193.35079684915007,47.166823835996354,905.78,220.41850704965768,19.52488429069519,18.475735254516355,18.39517880439758,18.17062108809836,21.71736004203558,7.585364113341559,13.53877508353931,1.501281265283527,1155.99953534178,88.76578098318049,0.8693690639167165,0.12524807524428555,1.2087182414515625,0.09827225739590116
SAC,mild_noise_latency_30ms,combined,5,0.9099999999999999,0.1746424919657298,0.01,0.022360679774997897,0.07999999999999999,0.15247950681976907,190.219347859679,58.835603136114514,914.2400000000001,214.80685044942115,13.105964355468751,6.54878014260312,11.57825951576233,3.6359475740518183,21.40292478343472,8.361012810797579,13.550722579219865,1.3782428389565418,1177.0472499188486,105.39547578770424,0.8039718779950356,0.05903113780509731,1.210432141092587,0.09526824962846903
SAC,moderate_noise,noise_curve,5,0.9099999999999999,0.1746424919657298,0.02,0.027386127875258306,0.06999999999999999,0.15652475842498528,192.5253561084103,54.06614104735325,890.5300000000001,228.41597360955302,19.012821683883665,17.837040509931057,18.365457229614258,18.095154891777725,21.431075682640078,7.236132187175154,13.58709943708077,1.589136290295401,1147.525547682428,86.84024560302016,0.8726047536976506,0.13255468704600762,1.2045433107901684,0.0966956898552
SAC,moderate_noise_latency_50ms,combined,5,0.9099999999999999,0.14747881203752625,0.02,0.027386127875258306,0.06999999999999999,0.15652475842498528,189.51251713907828,47.08713811325654,882.1899999999999,234.94005990890523,27.040771713256834,21.3619299327753,26.33259991645813,21.925184704834603,21.46871975421905,7.641536729207212,13.59624423617033,1.4801200938380958,1147.194242576587,110.8160957843307,0.9079764858011519,0.14963816478999287,1.2042727427675703,0.09180301254831712
TD3,clean,clean,5,0.63,0.33652637340927677,0.04,0.06519202405202648,0.32999999999999996,0.3684426685388108,121.52051716515598,80.77735581251332,1406.9199999999998,503.530522411502,20.028603096008304,8.779383625116031,13.897980432510376,4.607080397157079,7.532989580631257,7.227456030662179,11.342560045398837,2.6890200174974837,1416.6686770738365,166.43179156474295,0.6757205031984537,0.07615315936273771,1.3919141562763788,0.1816625588529104
TD3,latency_10ms,latency_curve,5,0.6799999999999999,0.36331804249169897,0.04,0.05477225575051662,0.28,0.366742416417845,130.91719478310478,88.9525593988063,1327.7599999999998,489.8127542745289,26.497161264419553,20.113466761581712,21.834749212265017,20.52940724144432,7.346839294508099,7.653306410220887,11.6518086869161,2.3623857427687915,1387.8905529179349,188.31299992110664,0.704409843340881,0.10206488174267074,1.4074371782567936,0.20028733348568012
