method,model_seed,city_seed,city_split,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,0,1311000,0.01,0.01,30.0,1,0,0,223.99138323630842,801,928.8444213867188,9.90427017211914,9.90427017211914,26.451946258544922,14.727021158188023,1180.006057285699,0.7871522486276782,1.2704022655634926
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,1,1311001,0.01,0.01,30.0,1,0,0,223.55332477097704,806,932.2310180664062,9.958756446838379,9.958756446838379,18.42841339111328,14.772379403892286,1190.54711020313,0.7830274082202004,1.277094504613794
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,2,1311002,0.01,0.01,30.0,1,0,0,223.05929507974028,817,931.1787719726562,9.934101104736328,9.934101104736328,15.109658241271973,14.567288337897788,1189.7938128414278,0.7826387748217019,1.2777286689224114
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,3,1311003,0.01,0.01,30.0,1,0,0,223.338910342688,805,925.0972290039062,9.97419261932373,9.97419261932373,36.37508010864258,14.872338148747913,1197.1195670323677,0.7727692826015711,1.2940472952463171
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,4,1311004,0.01,0.01,30.0,1,0,0,222.97918742252602,738,851.1544799804688,9.93409538269043,9.93409538269043,12.483697891235352,14.515700345439962,1071.1377620401227,0.7946265271792241,1.2584528275815476
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,5,1311005,0.01,0.01,30.0,1,0,0,226.20508338382695,812,923.3942260742188,9.961309432983398,9.961309432983398,31.18405532836914,14.744389404437225,1196.9642419645018,0.7714467932297712,1.296265677394754
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,6,1311006,0.01,0.01,30.0,1,0,0,222.6087317622621,808,922.0516967773438,9.917136192321777,9.917136192321777,8.74327564239502,14.536754846572876,1174.800975420245,0.7848577895907102,1.2741161688940907
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,7,1311007,0.01,0.01,30.0,1,0,0,200.28052322885986,755,854.8111572265625,9.98179817199707,9.98179817199707,3.5906825065612793,14.2244337566641,1074.2827186429427,0.7957040938966035,1.2567485924358501
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,8,1311008,0.01,0.01,30.0,1,0,0,224.97095453272811,856,982.447265625,9.95065975189209,9.95065975189209,31.853431701660156,14.889446037186083,1274.4285149228162,0.770892407162202,1.2971978848269963
HW_GA_SAC,4,1,city1_4_unseen,mild_noise_latency_30ms,combined,9,1311009,0.01,0.01,30.0,1,0,0,223.3142888905934,834,971.4661254882812,9.952615737915039,9.952615737915039,9.7695951461792,14.507709656830887,1209.7876232276726,0.8030055084349783,1.2453214697729222
