method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
sac,1,latency_30ms,latency_curve,0,621000,0.0,0.0,30.0,1,0,0,110.26009971934774,756,868.2344360351562,9.941363334655762,9.941363334655762,0.041879404336214066,13.020481865399729,984.2175266303292,0.8821570562838229,1.1335849924644967
sac,1,latency_30ms,latency_curve,1,621001,0.0,0.0,30.0,0,0,1,-27.482112972515623,2200,925.5282592773438,20.66537094116211,13.951427459716797,5.384418487548828,7.406134300638329,1627.2530172004508,0.5687672718958209,nan
sac,1,latency_30ms,latency_curve,2,621002,0.0,0.0,30.0,0,1,0,-176.42010551073685,529,956.6654052734375,565.061767578125,561.14306640625,0.0,8.738581450089164,461.80094832337704,2.071596883347088,nan
sac,1,latency_30ms,latency_curve,3,621003,0.0,0.0,30.0,1,0,0,174.72070853903057,872,876.954833984375,9.94041919708252,9.94041919708252,0.19393157958984375,12.064680980433018,1052.1274007000081,0.8335063162511629,1.1997509562946935
sac,1,latency_30ms,latency_curve,4,621004,0.0,0.0,30.0,0,0,1,-26.292212505170724,2200,877.9403686523438,18.80785369873047,13.906402587890625,20.092870712280273,7.551510986496102,1659.9351975129073,0.52890038717642,nan
sac,1,latency_30ms,latency_curve,5,621005,0.0,0.0,30.0,1,0,0,182.53901744901108,751,987.8280639648438,9.838748931884766,9.838748931884766,1.1594390869140625,13.721192523817248,1029.995245661901,0.9590607996739252,1.0426867622365483
sac,1,latency_30ms,latency_curve,6,621006,0.0,0.0,30.0,0,0,1,-46.43461729647856,2200,982.4016723632812,25.44462776184082,10.35968017578125,2.1304893493652344,8.162990322898734,1794.2634892143112,0.5475236375642155,nan
sac,1,latency_30ms,latency_curve,7,621007,0.0,0.0,30.0,1,0,0,119.54228400534292,751,882.457763671875,9.976649284362793,9.976649284362793,0.04482593759894371,13.123516785479417,985.5823164816163,0.8953668799802732,1.116860610280818
sac,1,latency_30ms,latency_curve,8,621008,0.0,0.0,30.0,0,0,1,-27.962673764465045,2200,932.271240234375,47.587154388427734,16.007164001464844,12.50809097290039,8.2080224256082,1804.5627370816217,0.5166189133119663,nan
sac,1,latency_30ms,latency_curve,9,621009,0.0,0.0,30.0,1,0,0,173.02152975486698,779,935.4238891601562,9.933399200439453,9.933399200439453,1.7917938232421875,12.651056244070325,984.9499070563946,0.9497172216156139,1.0529450000904979
sac,1,latency_30ms,latency_curve,10,621010,0.0,0.0,30.0,1,0,0,210.252521541069,740,946.0239868164062,9.816329002380371,9.816329002380371,5.456443786621094,13.65370676710799,1009.8517663898488,0.936794902283904,1.0674695150048341
sac,1,latency_30ms,latency_curve,11,621011,0.0,0.0,30.0,0,0,1,-33.21508124185925,2200,939.9700317382812,20.384437561035156,14.429452896118164,27.98705291748047,8.410937045379118,1849.234095118072,0.5083023475609587,nan
sac,1,latency_30ms,latency_curve,12,621012,0.0,0.0,30.0,1,0,0,214.24442844571797,880,894.534912109375,9.867586135864258,9.867586135864258,5.970157623291016,11.68293227458542,1028.052233373124,0.8701259362808175,1.1492589271322076
sac,1,latency_30ms,latency_curve,13,621013,0.0,0.0,30.0,1,0,0,217.4739139673905,729,910.3756713867188,9.942777633666992,9.942777633666992,15.677351951599121,13.486831916294307,983.5894634477836,0.9255646844726986,1.080421516481809
sac,1,latency_30ms,latency_curve,14,621014,0.0,0.0,30.0,1,0,0,212.21496692290413,783,933.75927734375,9.965738296508789,9.965738296508789,2.763805389404297,13.406443599235661,1049.8162045230283,0.8894502421669064,1.124289985647504
sac,1,latency_30ms,latency_curve,15,621015,0.0,0.0,30.0,1,0,0,196.37090048425358,638,874.0049438476562,9.862760543823242,9.862760543823242,0.6302642822265625,14.15747329396514,904.1065273056882,0.9667057116070855,1.034440976186605
sac,1,latency_30ms,latency_curve,16,621016,0.0,0.0,30.0,1,0,0,174.46145559330924,731,885.8856201171875,9.722854614257812,9.722854614257812,1.374298095703125,13.355270468666843,977.0645501186816,0.9066807510410455,1.102924043387715
sac,1,latency_30ms,latency_curve,17,621017,0.0,0.0,30.0,0,0,1,-26.925754047774078,2200,904.005126953125,14.433347702026367,14.122708320617676,18.28583526611328,8.670052893243053,1906.5261193877727,0.4741635153907154,nan
sac,1,latency_30ms,latency_curve,18,621018,0.0,0.0,30.0,0,0,1,-31.43302332079169,2200,926.3319702148438,19.71967887878418,14.278870582580566,27.818262100219727,8.974858653437007,1973.9628478136754,0.46927528106257516,nan
sac,1,latency_30ms,latency_curve,19,621019,0.0,0.0,30.0,1,0,0,214.83486284865148,1141,943.4722290039062,9.909612655639648,9.909612655639648,11.83297348022461,10.432449876269576,1190.293535112281,0.7926382872565195,1.2616095084949797
