method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
sac,1,mild_noise,noise_curve,0,621000,0.01,0.01,0.0,1,0,0,145.68874335080812,735,868.2344360351562,9.877760887145996,9.877760887145996,0.3894462585449219,13.266990286963326,974.5633475769863,0.8908958439631545,1.122465669557392
sac,1,mild_noise,noise_curve,1,621001,0.01,0.01,0.0,0,0,1,-25.92834310022394,2200,925.5282592773438,20.395126342773438,14.318829536437988,8.429695129394531,7.675457172190601,1685.7464469205272,0.5490317129056222,nan
sac,1,mild_noise,noise_curve,2,621002,0.01,0.01,0.0,1,0,0,157.50328858026842,1153,956.6654052734375,9.870737075805664,9.870737075805664,0.06084856390953064,10.153728980503182,1168.3216465257483,0.8188373536673609,1.2212437494714408
sac,1,mild_noise,noise_curve,3,621003,0.01,0.01,0.0,1,0,0,178.29714903676833,890,876.954833984375,9.93441390991211,9.93441390991211,1.3532943725585938,11.850872457027435,1053.2129785322604,0.8326471965874217,1.2009888510986026
sac,1,mild_noise,noise_curve,4,621004,0.01,0.01,0.0,0,0,1,-26.79592734301984,2200,877.9403686523438,16.90568733215332,14.777443885803223,24.99940299987793,5.995222916338931,1313.8888647762662,0.668199870010956,nan
sac,1,mild_noise,noise_curve,5,621005,0.01,0.01,0.0,1,0,0,178.7612561786037,747,987.8280639648438,9.899580955505371,9.899580955505371,1.0568122863769531,13.797672840406298,1028.6079295182233,0.9603543153974324,1.0412823516976237
sac,1,mild_noise,noise_curve,6,621006,0.01,0.01,0.0,0,0,1,-62.89195167829496,2200,982.4016723632812,27.606769561767578,10.599420547485352,1.7881088256835938,7.888083349642429,1732.567861471118,0.5670206023151826,nan
sac,1,mild_noise,noise_curve,7,621007,0.01,0.01,0.0,1,0,0,199.83941446034626,735,882.457763671875,9.988147735595703,9.988147735595703,4.20430850982666,13.271143980091122,974.3232620208854,0.9057135327360775,1.1041018642827294
sac,1,mild_noise,noise_curve,8,621008,0.01,0.01,0.0,0,0,1,-29.202550289613107,2200,932.271240234375,59.320560455322266,15.505026817321777,13.567057609558105,8.171716043813662,1795.6299042327234,0.5191889698633285,nan
sac,1,mild_noise,noise_curve,9,621009,0.01,0.01,0.0,1,0,0,182.30643914145276,774,935.4238891601562,9.940561294555664,9.940561294555664,1.7948532104492188,12.69122250397384,980.8230705651112,0.9537131795046402,1.0485332713126616
sac,1,mild_noise,noise_curve,10,621010,0.01,0.01,0.0,1,0,0,209.56956790114913,798,946.0239868164062,9.936298370361328,9.936298370361328,2.9532470703125,13.070608457153602,1041.1375764519437,0.9086445520872739,1.1005403572858836
sac,1,mild_noise,noise_curve,11,621011,0.01,0.01,0.0,0,0,1,-32.48161610277006,2200,939.9700317382812,19.989774703979492,13.772758483886719,27.923173904418945,7.540123418948867,1655.90495147194,0.5676473344093442,nan
sac,1,mild_noise,noise_curve,12,621012,0.01,0.01,0.0,1,0,0,197.45493556842285,873,894.534912109375,9.966525077819824,9.966525077819824,2.0845794677734375,11.917692681768097,1038.669183095909,0.861231782619255,1.1611276083642788
sac,1,mild_noise,noise_curve,13,621013,0.01,0.01,0.0,1,0,0,213.88111940897562,729,910.3756713867188,9.921561241149902,9.921561241149902,5.565654754638672,13.408731941987131,975.8996050119503,0.9328579156209115,1.0719746096964817
sac,1,mild_noise,noise_curve,14,621014,0.01,0.01,0.0,1,0,0,218.54550879116198,775,933.75927734375,9.84554386138916,9.84554386138916,7.606010437011719,13.567190412859762,1049.985939986473,0.8893064580996004,1.1244717621155542
sac,1,mild_noise,noise_curve,15,621015,0.01,0.01,0.0,1,0,0,203.63149164076924,635,874.0049438476562,9.950654983520508,9.950654983520508,5.934944152832031,14.207051711382828,901.104296475999,0.9699265082473563,1.0310059489012071
sac,1,mild_noise,noise_curve,16,621016,0.01,0.01,0.0,1,0,0,185.8048524771797,737,885.8856201171875,9.74939250946045,9.74939250946045,1.9002189636230469,13.253287005861223,975.2984531243939,0.9083225932320819,1.1009304485554
sac,1,mild_noise,noise_curve,17,621017,0.01,0.01,0.0,0,0,1,-26.587663041457063,2200,904.005126953125,15.35461139678955,14.171000480651855,12.881135940551758,8.016176730258898,1761.2380778495055,0.513278209415576,nan
sac,1,mild_noise,noise_curve,18,621018,0.01,0.01,0.0,0,0,1,-30.954975394540526,2200,926.3319702148438,22.973222732543945,14.493476867675781,27.154468536376953,8.005162423198874,1758.7800954346526,0.5266900464812894,nan
sac,1,mild_noise,noise_curve,19,621019,0.01,0.01,0.0,1,0,0,215.65277065543245,865,943.4722290039062,9.932622909545898,9.932622909545898,14.270804405212402,12.477511996203075,1077.9764610495833,0.8752252605639315,1.1425630007018683
