method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
sac,3,moderate_noise_latency_50ms,combined,0,623000,0.03,0.03,50.0,1,0,0,219.56155777901296,745,861.2958984375,9.963756561279297,9.963756561279297,20.126340866088867,14.19725839163633,1057.6650979865233,0.8143370714200069,1.2279927257348628
sac,3,moderate_noise_latency_50ms,combined,1,623001,0.03,0.03,50.0,1,0,0,221.18879780127028,871,973.6227416992188,9.97039794921875,9.97039794921875,13.53369426727295,13.878104493483884,1209.1004945222305,0.8052455078053214,1.2418572848987106
sac,3,moderate_noise_latency_50ms,combined,2,623002,0.03,0.03,50.0,1,0,0,218.01421911063142,783,960.2919921875,9.992039680480957,9.992039680480957,40.31794738769531,14.62346732981817,1145.024264207622,0.8386651900796528,1.1923709387592734
sac,3,moderate_noise_latency_50ms,combined,3,623003,0.03,0.03,50.0,1,0,0,217.6108876589174,768,939.3120727539062,9.964344024658203,9.964344024658203,38.906097412109375,14.544631153112277,1116.7568770726077,0.8411070413250166,1.1889093193473634
sac,3,moderate_noise_latency_50ms,combined,4,623004,0.03,0.03,50.0,1,0,0,214.0898669663336,758,869.5516967773438,9.925799369812012,9.925799369812012,5.5627593994140625,14.040515213182545,1064.2424327982174,0.8170616675103131,1.2238978277455146
sac,3,moderate_noise_latency_50ms,combined,5,623005,0.03,0.03,50.0,1,0,0,220.35208523706356,749,867.2506103515625,9.995156288146973,9.995156288146973,28.170358657836914,13.88899359604386,1040.0830819202706,0.833828206060603,1.199287806207073
sac,3,moderate_noise_latency_50ms,combined,6,623006,0.03,0.03,50.0,1,0,0,219.78655605195456,781,923.0767211914062,9.890463829040527,9.890463829040527,11.447540283203125,14.468265739354221,1129.8073962355652,0.8170213120103743,1.2239582802795999
sac,3,moderate_noise_latency_50ms,combined,7,623007,0.03,0.03,50.0,1,0,0,218.48867735823274,752,917.030029296875,9.977922439575195,9.977922439575195,41.16908264160156,14.45866629449611,1087.3100043160593,0.8433933520861017,1.1856863674897813
sac,3,moderate_noise_latency_50ms,combined,8,623008,0.03,0.03,50.0,1,0,0,217.68184499493927,761,941.2423706054688,9.944450378417969,9.944450378417969,38.678619384765625,14.620994743003795,1112.6504329700124,0.8459461684592151,1.182108315262394
sac,3,moderate_noise_latency_50ms,combined,9,623009,0.03,0.03,50.0,1,0,0,218.91360551495896,775,946.314697265625,9.991559028625488,9.991559028625488,30.857784271240234,14.390624565539822,1115.2786442749639,0.8485006882569859,1.1785494270537697
sac,3,moderate_noise_latency_50ms,combined,10,623010,0.03,0.03,50.0,1,0,0,218.9227650370052,724,858.9344482421875,9.99105453491211,9.99105453491211,38.83317565917969,14.24349469596839,1031.362555005834,0.8328152346362127,1.2007465262529886
sac,3,moderate_noise_latency_50ms,combined,11,623011,0.03,0.03,50.0,1,0,0,223.35141012671232,797,886.1159057617188,9.956971168518066,9.956971168518066,9.715832710266113,13.726880091944782,1093.8052961417945,0.8101221569207394,1.2343817428731774
sac,3,moderate_noise_latency_50ms,combined,12,623012,0.03,0.03,50.0,0,1,0,-209.34221361918287,168,977.1332397460938,817.8301391601562,817.8301391601562,0.0,11.390922320740563,191.75123041595484,5.095838173379411,nan
sac,3,moderate_noise_latency_50ms,combined,13,623013,0.03,0.03,50.0,1,0,0,218.89571646072054,791,973.2979125976562,9.992050170898438,9.992050170898438,35.097930908203125,14.438956292555696,1142.123925928965,0.8521824037667441,1.173457695887506
sac,3,moderate_noise_latency_50ms,combined,14,623014,0.03,0.03,50.0,1,0,0,219.1745835802597,778,950.5586547851562,9.883471488952637,9.883471488952637,38.94261169433594,14.39585247015279,1119.8564335475055,0.8488218902970945,1.178103453069515
sac,3,moderate_noise_latency_50ms,combined,15,623015,0.03,0.03,50.0,1,0,0,217.7822444958345,711,853.6591796875,9.997443199157715,9.997443199157715,41.47674560546875,14.446286611416168,1027.006152617611,0.8312113588723028,1.2030634438835042
sac,3,moderate_noise_latency_50ms,combined,16,623016,0.03,0.03,50.0,1,0,0,220.59064398263672,826,971.5382690429688,9.962448120117188,9.962448120117188,21.613903045654297,14.107696682214737,1164.971656767802,0.8339587177069084,1.1991001218257498
sac,3,moderate_noise_latency_50ms,combined,17,623017,0.03,0.03,50.0,1,0,0,221.11731051602044,753,858.71923828125,9.934971809387207,9.934971809387207,12.457782745361328,13.820924869729861,1040.9318877137744,0.8249523800901876,1.212191181132995
sac,3,moderate_noise_latency_50ms,combined,18,623018,0.03,0.03,50.0,1,0,0,168.69585237776573,849,899.87109375,9.867252349853516,9.867252349853516,1.0150985717773438,13.48629272854651,1144.7701972404902,0.786071384387165,1.2721490946774734
sac,3,moderate_noise_latency_50ms,combined,19,623019,0.03,0.03,50.0,1,0,0,218.01601333227603,754,926.1054077148438,9.938372611999512,9.938372611999512,39.021697998046875,14.537534950740774,1095.8400177438907,0.8451100459184766,1.1832778521916478
