method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
td3,2,mild_noise,noise_curve,0,622000,0.01,0.01,0.0,1,0,0,237.9721745100498,1144,966.9483032226562,9.911029815673828,9.911029815673828,12.412666320800781,11.868741571173802,1356.5903834377204,0.7127783854492049,1.4029606121821205
td3,2,mild_noise,noise_curve,1,622001,0.01,0.01,0.0,0,0,1,-78.81767529496763,2200,902.021728515625,21.453981399536133,10.359441757202148,0.03781890869140625,8.871030107248913,1949.1855425483582,0.4627685301504571,nan
td3,2,mild_noise,noise_curve,2,622002,0.01,0.01,0.0,1,0,0,214.08086980527207,1490,987.1622314453125,9.879063606262207,9.879063606262207,1.8946571350097656,10.893849040437864,1621.5034628148107,0.6087944022837124,1.642590661557983
td3,2,mild_noise,noise_curve,3,622003,0.01,0.01,0.0,1,0,0,236.97681757728031,1407,916.1939086914062,9.91122055053711,9.91122055053711,7.487905025482178,10.748563481038058,1511.2179227376903,0.6062619393976276,1.6494520520182818
td3,2,mild_noise,noise_curve,4,622004,0.01,0.01,0.0,1,0,0,207.76629222097276,1458,939.122802734375,9.988675117492676,9.988675117492676,2.0051116943359375,9.875525803477675,1437.251605801023,0.6534157268942301,1.5304192397589356
td3,2,mild_noise,noise_curve,5,622005,0.01,0.01,0.0,1,0,0,240.2481969304265,1090,993.1757202148438,9.901779174804688,9.901779174804688,8.914817810058594,11.736855070087888,1278.2738655170301,0.7769663035496144,1.2870571032893494
td3,2,mild_noise,noise_curve,6,622006,0.01,0.01,0.0,1,0,0,233.41229453256938,971,880.147705078125,9.918149948120117,9.918149948120117,3.6612777709960938,12.068917736088824,1170.7878442880424,0.751756784435479,1.330217459561653
td3,2,mild_noise,noise_curve,7,622007,0.01,0.01,0.0,0,0,1,-11.313432529557815,2200,993.8678588867188,17.987573623657227,13.692949295043945,2.8924293518066406,8.822008295140483,1938.4979303459647,0.5126999845232451,nan
td3,2,mild_noise,noise_curve,8,622008,0.01,0.01,0.0,1,0,0,205.94220440646225,938,895.55712890625,9.926030158996582,9.926030158996582,1.3388175964355469,12.61465155925832,1182.6804174511774,0.7572266486294635,1.320608567870587
td3,2,mild_noise,noise_curve,9,622009,0.01,0.01,0.0,1,0,0,215.1861197657385,1018,976.6701049804688,9.971536636352539,9.971536636352539,2.187835693359375,12.479955699214297,1269.1129006963256,0.7695691253667015,1.2994284295429572
td3,2,mild_noise,noise_curve,10,622010,0.01,0.01,0.0,1,0,0,236.45808050123412,987,943.4453735351562,9.98322868347168,9.98322868347168,4.878215789794922,12.73262163589066,1255.25449433347,0.7515968895503682,1.3305004503121818
td3,2,mild_noise,noise_curve,11,622011,0.01,0.01,0.0,0,0,1,-11.323305670344553,2200,901.2645874023438,22.698535919189453,11.427143096923828,5.448860168457031,9.550005755180662,2098.631771658278,0.42945341797155323,nan
td3,2,mild_noise,noise_curve,12,622012,0.01,0.01,0.0,1,0,0,234.90619312901174,1014,954.2322998046875,9.862140655517578,9.862140655517578,4.857429504394531,12.382538145815833,1254.3035868723523,0.7607666196539368,1.3144635610522548
td3,2,mild_noise,noise_curve,13,622013,0.01,0.01,0.0,1,0,0,158.35146213930275,863,853.5851440429688,9.976633071899414,9.976633071899414,0.13328170776367188,12.692557841159516,1094.49767260857,0.7798875825917267,1.2822360841761251
td3,2,mild_noise,noise_curve,14,622014,0.01,0.01,0.0,0,0,1,-5.823691060637287,2200,885.2396240234375,18.17963218688965,13.097146987915039,8.577369689941406,9.481769184090874,2083.5547891660867,0.42486985637547936,nan
td3,2,mild_noise,noise_curve,15,622015,0.01,0.01,0.0,1,0,0,236.12836321621919,986,865.669921875,9.919046401977539,9.919046401977539,8.130477905273438,12.198337034569793,1201.6315993541168,0.7204120816565593,1.3880944329813836
td3,2,mild_noise,noise_curve,16,622016,0.01,0.01,0.0,0,0,1,-8.34036133263146,2200,956.0162963867188,21.85261344909668,11.511984825134277,4.395111083984375,9.808863145140084,2155.8806701265507,0.4434458315035592,nan
td3,2,mild_noise,noise_curve,17,622017,0.01,0.01,0.0,1,0,0,227.6193576863408,1453,958.60693359375,9.998933792114258,9.998933792114258,2.5800552368164062,10.102457416443192,1466.501471911618,0.6536692611321993,1.5298256464866231
td3,2,mild_noise,noise_curve,18,622018,0.01,0.01,0.0,0,0,1,-16.4835147319976,2200,858.4149169921875,22.21124839782715,10.795490264892578,2.9120864868164062,9.731860075078227,2138.7029828505097,0.4013717303784154,nan
td3,2,mild_noise,noise_curve,19,622019,0.01,0.01,0.0,1,0,0,233.41768282229458,938,882.5296020507812,9.998405456542969,9.998405456542969,6.524711608886719,12.31592989768555,1154.5555119612523,0.7643890596058232,1.3082343178952296
