method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
td3,2,mild_noise_latency_30ms,combined,0,622000,0.01,0.01,30.0,1,0,0,237.87507184444,1327,966.9483032226562,9.98034954071045,9.98034954071045,12.230098724365234,11.310013625346905,1499.9275385318692,0.6446633443166904,1.5511972393279907
td3,2,mild_noise_latency_30ms,combined,1,622001,0.01,0.01,30.0,1,0,0,219.14102472096926,1009,902.021728515625,9.951831817626953,9.951831817626953,2.943500518798828,11.912158421647797,1201.379013365369,0.7508219458477405,1.3318736959278896
td3,2,mild_noise_latency_30ms,combined,2,622002,0.01,0.01,30.0,1,0,0,213.4640115012348,1005,987.1622314453125,9.98425579071045,9.98425579071045,2.0712814331054688,12.673365646808302,1273.3544371141807,0.7752454482999492,1.2899140552104102
td3,2,mild_noise_latency_30ms,combined,3,622003,0.01,0.01,30.0,1,0,0,192.5160295530423,1249,916.1939086914062,9.863551139831543,9.863551139831543,1.3875274658203125,11.108043890079562,1387.0431711709225,0.6605374134951892,1.5139187872925581
td3,2,mild_noise_latency_30ms,combined,4,622004,0.01,0.01,30.0,1,0,0,207.46508096453323,1236,939.122802734375,9.902348518371582,9.902348518371582,2.543193817138672,11.08169009828259,1368.7006888833466,0.6861418353639887,1.4574246146491185
td3,2,mild_noise_latency_30ms,combined,5,622005,0.01,0.01,30.0,1,0,0,207.3245424252617,1106,993.1757202148438,9.921111106872559,9.921111106872559,0.15208816528320312,11.692602589483934,1293.2692630913468,0.7679574150249431,1.3021555367982485
td3,2,mild_noise_latency_30ms,combined,6,622006,0.01,0.01,30.0,1,0,0,234.84492169924698,988,880.147705078125,9.978726387023926,9.978726387023926,4.803688049316406,12.021194312736572,1187.6111779827302,0.7411076296647351,1.3493316759569505
td3,2,mild_noise_latency_30ms,combined,7,622007,0.01,0.01,30.0,0,0,1,-10.967355237162025,2200,993.8678588867188,12.415823936462402,10.297355651855469,3.0055999755859375,8.450879740586336,1856.730868171711,0.5352783625907842,nan
td3,2,mild_noise_latency_30ms,combined,8,622008,0.01,0.01,30.0,1,0,0,173.66020665158027,934,895.55712890625,9.99750804901123,9.99750804901123,1.0072860717773438,12.649058964446475,1181.0244661438048,0.7582883797745172,1.3187594939768923
td3,2,mild_noise_latency_30ms,combined,9,622009,0.01,0.01,30.0,1,0,0,97.16740620543862,1037,976.6701049804688,9.920953750610352,9.920953750610352,0.0,12.28636552857571,1274.5499730945228,0.7662862387491787,1.3049953782705481
td3,2,mild_noise_latency_30ms,combined,10,622010,0.01,0.01,30.0,1,0,0,234.91060120207518,988,943.4453735351562,9.94320011138916,9.94320011138916,4.176750183105469,12.69706085897409,1254.1576153991443,0.7522542318055441,1.3293378192101653
td3,2,mild_noise_latency_30ms,combined,11,622011,0.01,0.01,30.0,0,0,1,-16.599273164621323,2200,901.2645874023438,25.82801628112793,10.93036937713623,1.6575164794921875,9.719654059057886,2136.872263214934,0.42176811544476095,nan
td3,2,mild_noise_latency_30ms,combined,12,622012,0.01,0.01,30.0,1,0,0,233.2896169472956,1016,954.2322998046875,9.888999938964844,9.888999938964844,5.397014617919922,12.31644466707087,1251.1813974789732,0.7626650314074255,1.311191622558852
td3,2,mild_noise_latency_30ms,combined,13,622013,0.01,0.01,30.0,1,0,0,169.3253824061795,874,853.5851440429688,9.88088607788086,9.88088607788086,0.23315048217773438,12.727499130115902,1112.4305555700678,0.767315442540633,1.3032449818668224
td3,2,mild_noise_latency_30ms,combined,14,622014,0.01,0.01,30.0,0,0,1,-14.77598711764314,2200,885.2396240234375,16.720623016357422,10.853531837463379,5.163501739501953,9.586194533759897,2107.601546666664,0.4200222880949736,nan
td3,2,mild_noise_latency_30ms,combined,15,622015,0.01,0.01,30.0,1,0,0,236.384823211861,997,865.669921875,9.977458000183105,9.977458000183105,8.088146209716797,12.175396469435697,1213.3726736562385,0.7134410891803663,1.4016574250704366
td3,2,mild_noise_latency_30ms,combined,16,622016,0.01,0.01,30.0,1,0,0,231.1046182169024,1261,956.0162963867188,9.98214340209961,9.98214340209961,3.7271690368652344,11.553350803731076,1457.1266896150037,0.6560968948000765,1.5241651163502556
td3,2,mild_noise_latency_30ms,combined,17,622017,0.01,0.01,30.0,1,0,0,154.00379335574,1375,958.60693359375,9.973892211914062,9.973892211914062,0.0,10.474693577820604,1439.2095449195808,0.6660648805294814,1.501355242157581
td3,2,mild_noise_latency_30ms,combined,18,622018,0.01,0.01,30.0,1,0,0,212.34069615116528,1029,858.4149169921875,9.974285125732422,9.974285125732422,1.6137847900390625,12.092933650788343,1244.3175591468214,0.6898680410656329,1.4495525817594175
td3,2,mild_noise_latency_30ms,combined,19,622019,0.01,0.01,30.0,1,0,0,233.343800463576,945,882.5296020507812,9.872296333312988,9.872296333312988,6.4645233154296875,12.232028455456728,1156.3822050370356,0.7631815832227514,1.3103041556338604
