method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
td3,2,moderate_noise,noise_curve,0,622000,0.03,0.03,0.0,1,0,0,237.7917471826205,1124,966.9483032226562,9.924657821655273,9.924657821655273,10.993457794189453,11.982769970261753,1345.1570442720038,0.7188367390559715,1.3911364648852986
td3,2,moderate_noise,noise_curve,1,622001,0.03,0.03,0.0,1,0,0,234.12304291380963,1035,902.021728515625,9.995015144348145,9.995015144348145,5.4626617431640625,11.575482371060744,1196.518264392728,0.7538720931881724,1.3264849687842102
td3,2,moderate_noise,noise_curve,2,622002,0.03,0.03,0.0,1,0,0,231.8327791446399,1781,987.1622314453125,9.908867835998535,9.908867835998535,5.542558193206787,10.289937049669204,1830.1839425271248,0.5393786976855645,1.853984972508052
td3,2,moderate_noise,noise_curve,3,622003,0.03,0.03,0.0,1,0,0,216.0403575396607,1217,916.1939086914062,9.92888355255127,9.92888355255127,2.6769485473632812,11.285871104422219,1371.7192626869755,0.6679164852556864,1.4971931702167647
td3,2,moderate_noise,noise_curve,4,622004,0.03,0.03,0.0,1,0,0,226.7223312757057,1213,939.122802734375,9.856657981872559,9.856657981872559,4.014904022216797,11.186108766168184,1355.3694768171542,0.6928906241416466,1.4432292271796876
td3,2,moderate_noise,noise_curve,5,622005,0.03,0.03,0.0,1,0,0,166.88246788370432,1123,993.1757202148438,9.883301734924316,9.883301734924316,0.401327520608902,11.479766258467338,1287.3312807170087,0.7714997181313513,1.296176753534141
td3,2,moderate_noise,noise_curve,6,622006,0.03,0.03,0.0,1,0,0,220.31356816119532,1002,880.147705078125,9.990100860595703,9.990100860595703,1.813507080078125,11.798896465532318,1180.8587965808856,0.7453454279432445,1.3416598029714437
td3,2,moderate_noise,noise_curve,7,622007,0.03,0.03,0.0,0,0,1,-11.833883181184959,2200,993.8678588867188,15.45534896850586,15.259101867675781,3.1692886352539062,8.64790708953684,1899.71024462159,0.5231681314034766,nan
td3,2,moderate_noise,noise_curve,8,622008,0.03,0.03,0.0,1,0,0,217.96041663063096,939,895.55712890625,9.91338062286377,9.91338062286377,1.5452728271484375,12.605613463729842,1182.9707488580468,0.7570408057602059,1.320932758698283
td3,2,moderate_noise,noise_curve,9,622009,0.03,0.03,0.0,1,0,0,212.23688994401329,1023,976.6701049804688,9.975143432617188,9.975143432617188,1.9852218627929688,12.526794465522729,1280.3791429240232,0.7627975747480789,1.3109637905315306
td3,2,moderate_noise,noise_curve,10,622010,0.03,0.03,0.0,1,0,0,236.04113371796478,984,943.4453735351562,9.998342514038086,9.998342514038086,4.799400329589844,12.742074457731674,1252.589085760925,0.7531962271266562,1.3276752644060201
td3,2,moderate_noise,noise_curve,11,622011,0.03,0.03,0.0,1,0,0,233.63214231300253,1163,901.2645874023438,9.969870567321777,9.969870567321777,6.8850860595703125,11.51075590138587,1336.747386917136,0.6742220678514874,1.4831908471739204
td3,2,moderate_noise,noise_curve,12,622012,0.03,0.03,0.0,1,0,0,234.74594162238802,1014,954.2322998046875,9.884127616882324,9.884127616882324,5.231006622314453,12.35488185639212,1251.2634597994843,0.7626150131145073,1.3112776208220924
td3,2,moderate_noise,noise_curve,13,622013,0.03,0.03,0.0,1,0,0,226.9425460209024,851,853.5851440429688,9.90036392211914,9.90036392211914,4.0393829345703125,13.072739420570302,1111.019012062734,0.76829031256467,1.3015913173001594
td3,2,moderate_noise,noise_curve,14,622014,0.03,0.03,0.0,0,0,1,-6.752698466059783,2200,885.2396240234375,21.580278396606445,11.054705619812012,7.243602752685547,9.474272286621007,2081.8720641576374,0.4252132680312521,nan
td3,2,moderate_noise,noise_curve,15,622015,0.03,0.03,0.0,1,0,0,236.44561376890118,990,865.669921875,9.989221572875977,9.989221572875977,8.384468078613281,12.130303423753892,1199.466302845773,0.7217125815216066,1.385593137217689
td3,2,moderate_noise,noise_curve,16,622016,0.03,0.03,0.0,1,0,0,232.75541202281775,1160,956.0162963867188,9.985787391662598,9.985787391662598,4.1158294677734375,11.840901951954283,1372.4313173567691,0.6965858941691567,1.435573140901362
td3,2,moderate_noise,noise_curve,17,622017,0.03,0.03,0.0,1,0,0,205.16361382308455,1351,958.60693359375,9.99376106262207,9.99376106262207,0.5711746215820312,10.609000876865768,1432.2456998665225,0.669303411895799,1.4940906952311872
td3,2,moderate_noise,noise_curve,18,622018,0.03,0.03,0.0,0,0,1,-33.87652683946006,2200,858.4149169921875,22.855438232421875,11.080493927001953,1.4421310424804688,9.677667183496736,2126.854865412561,0.40360766075388727,nan
td3,2,moderate_noise,noise_curve,19,622019,0.03,0.03,0.0,1,0,0,230.9253105947525,933,882.5296020507812,9.892146110534668,9.892146110534668,5.6960906982421875,12.350559440711942,1150.674065524015,0.7669674919186422,1.303836225833255
