method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
td3,3,moderate_noise_latency_50ms,combined,0,623000,0.03,0.03,50.0,1,0,0,193.57908045276793,859,861.2958984375,9.940232276916504,9.940232276916504,0.9559516906738281,13.254152727002175,1138.1497931627398,0.7567509159265352,1.3214387706100632
td3,3,moderate_noise_latency_50ms,combined,1,623001,0.03,0.03,50.0,1,0,0,220.98861515929443,984,973.6227416992188,9.999732971191406,9.999732971191406,3.497314453125,12.951972892977357,1273.8585008903856,0.7643099614428825,1.3083697065941364
td3,3,moderate_noise_latency_50ms,combined,2,623002,0.03,0.03,50.0,1,0,0,127.05912886044841,900,960.2919921875,9.936166763305664,9.936166763305664,0.044971466064453125,13.815938877529568,1243.5345122633728,0.7722278575442675,1.2949545787949972
td3,3,moderate_noise_latency_50ms,combined,3,623003,0.03,0.03,50.0,1,0,0,217.16903409810692,795,939.3120727539062,9.93714427947998,9.93714427947998,3.780841827392578,14.622971984650354,1162.3655147214192,0.8081038716801818,1.2374646812678107
td3,3,moderate_noise_latency_50ms,combined,4,623004,0.03,0.03,50.0,1,0,0,197.48860327634577,967,869.5516967773438,9.97344970703125,9.97344970703125,1.469573974609375,12.37720491492884,1196.5373780148363,0.7267233876304044,1.3760393803489066
td3,3,moderate_noise_latency_50ms,combined,5,623005,0.03,0.03,50.0,1,0,0,218.8456048149167,784,867.2506103515625,9.913498878479004,9.913498878479004,5.756725311279297,13.179339648509512,1033.4924314541904,0.839145584386414,1.1916883298995171
td3,3,moderate_noise_latency_50ms,combined,6,623006,0.03,0.03,50.0,1,0,0,211.67931324097802,1001,923.0767211914062,9.945658683776855,9.945658683776855,4.4610700607299805,12.872587028083268,1288.2685450583742,0.716525079132146,1.395624562382657
td3,3,moderate_noise_latency_50ms,combined,7,623007,0.03,0.03,50.0,0,1,0,-165.97568511925508,1763,917.030029296875,133.12278747558594,25.435428619384766,0.0,10.590523610856136,1866.482979469213,0.4913144343580665,nan
td3,3,moderate_noise_latency_50ms,combined,8,623008,0.03,0.03,50.0,1,0,0,217.15542713882388,807,941.2423706054688,9.928704261779785,9.928704261779785,4.1722564697265625,14.688876478793157,1184.9672124281544,0.7943193370529964,1.2589395138107795
td3,3,moderate_noise_latency_50ms,combined,9,623009,0.03,0.03,50.0,1,0,0,218.6523372598237,881,946.314697265625,9.932049751281738,9.932049751281738,6.373779296875,13.222475983160173,1164.1547894403736,0.8128770382163117,1.2301983608668419
td3,3,moderate_noise_latency_50ms,combined,10,623010,0.03,0.03,50.0,0,1,0,-164.01559975147626,1928,858.9344482421875,133.39657592773438,19.089584350585938,0.0047454833984375,10.053629193130371,1937.1407741616583,0.4434032155530415,nan
td3,3,moderate_noise_latency_50ms,combined,11,623011,0.03,0.03,50.0,1,0,0,227.01641882998865,827,886.1159057617188,9.948941230773926,9.948941230773926,11.77967643737793,13.610052584232413,1125.1247091475266,0.7875712785946212,1.269726343734178
td3,3,moderate_noise_latency_50ms,combined,12,623012,0.03,0.03,50.0,1,0,0,136.63890219425676,1087,977.1332397460938,9.938870429992676,9.938870429992676,0.0,12.536399152757053,1362.0880102786339,0.7173789302691297,1.3939634380185142
td3,3,moderate_noise_latency_50ms,combined,13,623013,0.03,0.03,50.0,1,0,0,219.9644854774653,808,973.2979125976562,9.915841102600098,9.915841102600098,12.224727630615234,14.404714870644678,1163.8378306915356,0.8362831031358868,1.1957673140234557
td3,3,moderate_noise_latency_50ms,combined,14,623014,0.03,0.03,50.0,0,1,0,-193.18745024666302,1737,950.5586547851562,134.53492736816406,15.288483619689941,0.0,10.645539657268019,1847.9591783451351,0.5143829289759476,nan
td3,3,moderate_noise_latency_50ms,combined,15,623015,0.03,0.03,50.0,1,0,0,218.4635192610321,685,853.6591796875,9.982213973999023,9.982213973999023,16.1485652923584,15.105462112740009,1034.3889414027217,0.8252787182061939,1.2117118470879462
td3,3,moderate_noise_latency_50ms,combined,16,623016,0.03,0.03,50.0,1,0,0,183.71604481984397,1142,971.5382690429688,9.985150337219238,9.985150337219238,1.7408638000488281,11.852917408880545,1353.1344391720875,0.7179909408243297,1.3927752331413736
td3,3,moderate_noise_latency_50ms,combined,17,623017,0.03,0.03,50.0,0,1,0,-168.23504624329635,842,858.71923828125,193.67239379882812,193.67239379882812,0.0,11.668910488026158,982.1736252795769,0.8743049255031814,nan
td3,3,moderate_noise_latency_50ms,combined,18,623018,0.03,0.03,50.0,1,0,0,178.59258646153145,1034,899.87109375,9.857210159301758,9.857210159301758,1.7602653503417969,11.906442050661754,1230.885193300501,0.7310763819792825,1.367846130239697
td3,3,moderate_noise_latency_50ms,combined,19,623019,0.03,0.03,50.0,0,1,0,-164.21016947541753,1884,926.1054077148438,134.12193298339844,10.613008499145508,0.0,10.339239032500108,1946.788863202007,0.4757092179948161,nan
