method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
td3,4,clean,clean,0,624000,0.0,0.0,0.0,0,0,1,10.727278322117101,2200,884.3558959960938,25.82176399230957,13.713549613952637,8.057353973388672,7.2614397793059995,1594.791858549923,0.5545274709391865,nan
td3,4,clean,clean,1,624001,0.0,0.0,0.0,1,0,0,227.4228189054553,1682,908.9744262695312,9.884577751159668,9.884577751159668,2.8564720153808594,9.038878354444373,1517.599930549964,0.5989552371290155,1.6695738479444984
td3,4,clean,clean,2,624002,0.0,0.0,0.0,0,0,1,2.852986668067942,2200,936.8092651367188,27.191282272338867,14.694074630737305,3.3632354736328125,8.532678285376592,1875.4352484901272,0.4995156542412882,nan
td3,4,clean,clean,3,624003,0.0,0.0,0.0,0,0,1,-21.19323654000128,2200,878.8284912109375,66.65885162353516,61.42766571044922,1.6307830810546875,6.960022495245053,1526.3355115790318,0.5757767440670811,nan
td3,4,clean,clean,4,624004,0.0,0.0,0.0,0,0,1,-15.36464271788266,2200,951.7889404296875,25.605722427368164,16.597436904907227,1.7425193786621094,8.337968837876211,1832.536499222104,0.5193833469803814,nan
td3,4,clean,clean,5,624005,0.0,0.0,0.0,0,0,1,-66.46566770525997,2200,895.1305541992188,27.76263999938965,17.563596725463867,0.2659721374511719,8.283295080797238,1820.3608326454957,0.4917324841022549,nan
td3,4,clean,clean,6,624006,0.0,0.0,0.0,0,0,1,-92.25630037993044,2200,890.0692138671875,27.47132110595703,11.400018692016602,0.565185546875,7.5377859658273785,1656.00097745242,0.5374810920923873,nan
td3,4,clean,clean,7,624007,0.0,0.0,0.0,0,0,1,8.5061509252413,2200,925.5440673828125,27.015104293823242,15.645608901977539,5.536117076873779,8.11592742947015,1783.456534656206,0.5189608209662525,nan
td3,4,clean,clean,8,624008,0.0,0.0,0.0,0,0,1,9.00804566328216,2200,954.5979614257812,29.044063568115234,13.250714302062988,7.36359167098999,8.286053664684296,1821.0790378828456,0.5241935915838007,nan
td3,4,clean,clean,9,624009,0.0,0.0,0.0,1,0,0,220.07360445425087,1941,963.0626831054688,9.984846115112305,9.984846115112305,1.2368354797363281,9.03558969715709,1752.188216496407,0.5496342653366106,1.819391662904374
td3,4,clean,clean,10,624010,0.0,0.0,0.0,0,0,1,-37.68310548325373,2200,896.133056640625,107.431884765625,107.431884765625,1.2260360717773438,5.982446167916059,1308.5442562746102,0.6848320584829827,nan
td3,4,clean,clean,11,624011,0.0,0.0,0.0,0,0,1,0.43632407089469893,2200,984.564697265625,22.714014053344727,17.768146514892578,4.182579040527344,7.591103771064769,1666.484012025139,0.5908035661675299,nan
td3,4,clean,clean,12,624012,0.0,0.0,0.0,0,0,1,-2.7014444736617946,2200,862.9345703125,24.51263999938965,13.118837356567383,2.285736083984375,7.594971155442975,1668.608432920274,0.5171582219575963,nan
td3,4,clean,clean,13,624013,0.0,0.0,0.0,0,0,1,11.381192067839379,2200,989.176513671875,26.814668655395508,15.351675033569336,5.957784652709961,8.498657615401529,1868.0675672108478,0.5295185950628022,nan
td3,4,clean,clean,14,624014,0.0,0.0,0.0,0,0,1,-12.344675329979992,2200,890.3925170898438,25.605915069580078,16.448617935180664,1.783966064453125,7.81188600036231,1716.424668304217,0.5187483805913419,nan
td3,4,clean,clean,15,624015,0.0,0.0,0.0,0,0,1,-6.786714974291655,2200,929.2014770507812,28.64682388305664,15.852712631225586,3.1518707275390625,7.738415772562678,1700.0245873053195,0.546581198877625,nan
td3,4,clean,clean,16,624016,0.0,0.0,0.0,0,0,1,1.1933305890439527,2200,892.2732543945312,26.07649803161621,15.23691177368164,4.306407928466797,7.722844480086457,1696.7275431541516,0.5258789238110848,nan
td3,4,clean,clean,17,624017,0.0,0.0,0.0,1,0,0,236.85823382669184,1353,885.8858642578125,9.92492389678955,9.92492389678955,5.3824920654296875,10.534367114988328,1424.6863166592932,0.6218111691667688,1.608205271288399
td3,4,clean,clean,18,624018,0.0,0.0,0.0,0,0,1,4.3602274970071875,2200,907.4202270507812,21.777360916137695,14.141339302062988,4.247173309326172,7.89678924893791,1734.7292994676518,0.5230903907193171,nan
td3,4,clean,clean,19,624019,0.0,0.0,0.0,0,0,1,-23.047382669930485,2200,925.364990234375,26.773103713989258,20.583581924438477,1.8857002258300781,8.233362153091214,1809.467957455746,0.5114017003846317,nan
