method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
td3,5,latency_30ms,latency_curve,0,625000,0.0,0.0,30.0,1,0,0,212.70818804461464,1013,978.55126953125,9.909463882446289,9.909463882446289,4.169673442840576,13.172821176546348,1334.4030580727406,0.7333251101391792,1.3636516548713409
td3,5,latency_30ms,latency_curve,1,625001,0.0,0.0,30.0,1,0,0,225.6201829500336,911,872.7487182617188,9.988245010375977,9.988245010375977,5.524062156677246,13.399741228796648,1220.218771700441,0.7152395443363784,1.3981329862400593
td3,5,latency_30ms,latency_curve,2,625002,0.0,0.0,30.0,1,0,0,231.53805392784568,949,967.0244140625,9.978848457336426,9.978848457336426,17.06549072265625,14.26832863440378,1354.4527397617828,0.7139595097519441,1.400639653006985
td3,5,latency_30ms,latency_curve,3,625003,0.0,0.0,30.0,0,0,1,-16.701689022716195,2200,965.429931640625,27.191843032836914,11.306126594543457,20.720457077026367,7.056197721812535,1543.9682309882064,0.625291318994762,nan
td3,5,latency_30ms,latency_curve,4,625004,0.0,0.0,30.0,1,0,0,228.49672726188368,856,904.9091186523438,9.967085838317871,9.967085838317871,17.678823471069336,14.66117338306993,1255.0766944586387,0.7209990613702414,1.3869643576227741
td3,5,latency_30ms,latency_curve,5,625005,0.0,0.0,30.0,1,0,0,227.3458562114966,835,903.5234985351562,9.974071502685547,9.974071502685547,35.34674072265625,14.837173289310433,1239.2622177429712,0.7290817759139908,1.3715882539326687
td3,5,latency_30ms,latency_curve,6,625006,0.0,0.0,30.0,1,0,0,228.8022858989136,906,918.3694458007812,9.970924377441406,9.970924377441406,16.141700744628906,14.206342817208098,1286.910735052421,0.7136232691099375,1.401299597821753
td3,5,latency_30ms,latency_curve,7,625007,0.0,0.0,30.0,1,0,0,225.18800934002783,861,944.392333984375,9.98519229888916,9.98519229888916,15.50947093963623,14.769141036320509,1271.9045642151366,0.7425025120238782,1.3467967903222944
td3,5,latency_30ms,latency_curve,8,625008,0.0,0.0,30.0,1,0,0,230.34617554761002,850,889.9378051757812,9.93250560760498,9.93250560760498,16.85066032409668,14.280295028967016,1213.5457686941634,0.7333368284357329,1.3636298645099842
td3,5,latency_30ms,latency_curve,9,625009,0.0,0.0,30.0,1,0,0,229.9972358549552,915,948.4121704101562,9.894410133361816,9.894410133361816,32.19146728515625,14.484275317452644,1325.2128140158766,0.715667823597421,1.3972962972868292
td3,5,latency_30ms,latency_curve,10,625010,0.0,0.0,30.0,1,0,0,227.79646907710608,858,924.5685424804688,9.979018211364746,9.979018211364746,14.011626243591309,14.726344470933324,1263.2152671475649,0.7319168525948978,1.366275412916993
td3,5,latency_30ms,latency_curve,11,625011,0.0,0.0,30.0,1,0,0,227.76070385803882,872,917.6607666015625,9.960905075073242,9.960905075073242,32.336673736572266,14.934697652697016,1302.3812925994262,0.7046022327071368,1.4192404644503067
td3,5,latency_30ms,latency_curve,12,625012,0.0,0.0,30.0,1,0,0,227.9887362838706,844,902.1724853515625,9.917243003845215,9.917243003845215,34.958587646484375,14.813137017720118,1250.121205156605,0.7216680123736848,1.3856787093982945
td3,5,latency_30ms,latency_curve,13,625013,0.0,0.0,30.0,1,0,0,225.3681347345012,995,978.2221069335938,9.972573280334473,9.972573280334473,8.010644912719727,13.70567243566465,1363.183035210331,0.7176014384470828,1.393531208861619
td3,5,latency_30ms,latency_curve,14,625014,0.0,0.0,30.0,1,0,0,229.80954490143174,887,944.9492797851562,9.971783638000488,9.971783638000488,32.21099853515625,14.591495220529454,1294.3355742424358,0.7300651381217174,1.3697407913118003
td3,5,latency_30ms,latency_curve,15,625015,0.0,0.0,30.0,1,0,0,229.91189272380245,942,993.0421142578125,9.973647117614746,9.973647117614746,22.78420639038086,15.010224970472846,1413.9885879480025,0.7022985353077901,1.4238958928794276
td3,5,latency_30ms,latency_curve,16,625016,0.0,0.0,30.0,1,0,0,229.4423453113268,898,965.6187744140625,9.915091514587402,9.915091514587402,19.063095092773438,14.749023298975619,1324.1764450856485,0.729222135009059,1.3713242536001424
td3,5,latency_30ms,latency_curve,17,625017,0.0,0.0,30.0,1,0,0,225.89290925754747,872,927.0332641601562,9.969286918640137,9.969286918640137,12.21035099029541,14.267096783931649,1243.7205141910704,0.7453710488671235,1.3416136855863703
td3,5,latency_30ms,latency_curve,18,625018,0.0,0.0,30.0,1,0,0,228.66117500831427,874,929.4476928710938,9.947714805603027,9.947714805603027,26.446998596191406,14.907812826966257,1302.862089418752,0.7133891610014915,1.4017594528576096
td3,5,latency_30ms,latency_curve,19,625019,0.0,0.0,30.0,1,0,0,230.6719517604888,940,990.0968017578125,9.982043266296387,9.982043266296387,34.488494873046875,15.048182120475364,1414.4438880754365,0.6999901587506507,1.42859151303614
