method,method_label,model_seed,city_seed,wind_level,episode_seed,episode_index,success,collision,timeout,return,final_distance,path_length,straight_line_distance,path_efficiency,min_clearance,average_speed,steps
sac,SAC,3,45,no_wind,0,0,1.0,0.0,0.0,220.50192314926005,9.886016845703125,1124.1203928285393,934.53515625,0.8313479251973178,13.069077491760254,14.16382684980892,794.0
sac,SAC,3,45,no_wind,1,1,1.0,0.0,0.0,219.12450010906917,9.923393249511719,1101.65496824539,935.4208984375,0.849105142172915,36.391448974609375,14.451183393304657,763.0
sac,SAC,3,45,no_wind,2,2,1.0,0.0,0.0,218.7773994726292,9.950069427490234,1072.1590055794497,893.7583618164062,0.8336061695749815,37.012027740478516,14.50316695538727,740.0
sac,SAC,3,45,no_wind,3,3,1.0,0.0,0.0,219.5206498435927,9.915781021118164,1162.5883882129306,962.9381713867188,0.8282709350528578,35.342315673828125,14.20401925328887,819.0
sac,SAC,3,45,no_wind,4,4,1.0,0.0,0.0,219.0687564559614,9.874944686889648,1170.1635432258743,997.798828125,0.8527003203110362,12.884716987609863,14.529487026388534,806.0
sac,SAC,3,45,no_wind,5,5,1.0,0.0,0.0,219.43925732540953,9.939550399780273,1026.7474595018246,857.922119140625,0.8355726729111039,38.72676086425781,14.150669808065924,726.0
sac,SAC,3,45,no_wind,6,6,1.0,0.0,0.0,218.62287949151124,9.99837589263916,1154.7488216760894,954.5559692382812,0.8266351533078569,35.12614440917969,14.54920057220483,794.0
sac,SAC,3,45,no_wind,7,7,1.0,0.0,0.0,218.9512980841444,9.867783546447754,1164.2816596645393,971.4354248046875,0.8343646202282221,8.945025444030762,14.349217736221886,812.0
sac,SAC,3,45,no_wind,8,8,1.0,0.0,0.0,219.0876162886301,9.95034408569336,1067.056965823825,890.9869995117188,0.8349947828922415,37.0050048828125,14.347722232822449,744.0
sac,SAC,3,45,no_wind,9,9,1.0,0.0,0.0,219.91420350189557,9.999445915222168,1078.988634837831,894.4998168945312,0.8290169034347357,33.03942108154297,14.259438264873888,757.0
sac,SAC,3,45,no_wind,10,10,1.0,0.0,0.0,219.73264365738714,9.871808052062988,1100.1716740116265,916.830810546875,0.833352495982537,28.67007064819336,14.25920877655862,772.0
sac,SAC,3,45,no_wind,11,11,1.0,0.0,0.0,218.47387613198742,9.869102478027344,1181.3697116255269,992.8046875,0.8403844094952566,34.25819396972656,14.579271375324517,811.0
sac,SAC,3,45,no_wind,12,12,1.0,0.0,0.0,219.78208252863516,9.983182907104492,1189.9025249853255,985.5079345703125,0.8282257696549272,33.975425720214844,14.314303456089245,832.0
sac,SAC,3,45,no_wind,13,13,1.0,0.0,0.0,218.7573839649794,9.932014465332031,1158.0287504682435,987.4907836914062,0.8527342549069865,23.732940673828125,14.650687208443918,791.0
sac,SAC,3,45,no_wind,14,14,1.0,0.0,0.0,218.8041241715723,9.914641380310059,1097.5894436189485,923.1139526367188,0.8410375646407887,37.862300872802734,14.467008317961838,759.0
