method,method_label,model_seed,city_seed,wind_level,episode_seed,episode_index,success,collision,timeout,return,final_distance,path_length,straight_line_distance,path_efficiency,min_clearance,average_speed,steps
td3,TD3,1,49,strong,0,0,1.0,0.0,0.0,207.43522299599013,9.840062141418457,1065.3455744207747,961.7584228515625,0.9027666195304446,5.931755065917969,13.587697506102787,785.0
td3,TD3,1,49,strong,1,1,1.0,0.0,0.0,197.63870788561837,9.960007667541504,1083.734016779675,935.4208984375,0.8631462000400351,1.3602294921875,11.662493578016116,930.0
td3,TD3,1,49,strong,2,2,1.0,0.0,0.0,208.04116085625407,9.919088363647461,976.4880026457454,893.7583618164062,0.9152783847777061,6.370094299316406,13.959468555024692,700.0
td3,TD3,1,49,strong,3,3,1.0,0.0,0.0,205.26930188361868,9.944168090820312,1059.4264734326666,962.46826171875,0.9084804711366513,6.036073684692383,15.752075676400807,673.0
td3,TD3,1,49,strong,4,4,1.0,0.0,0.0,210.1478888643103,9.977633476257324,1454.9764043714072,924.613525390625,0.6354835189166421,4.125324249267578,6.872298601728759,2123.0
td3,TD3,1,49,strong,5,5,1.0,0.0,0.0,176.83657067626655,9.889948844909668,975.3531992426243,857.922119140625,0.8796014816036014,2.1109542846679688,14.106394430116422,692.0
td3,TD3,1,49,strong,6,6,0.0,0.0,1.0,-22.45137642087269,12.109333038330078,1539.5224528338515,954.5559692382812,0.620033808198898,8.759296417236328,7.0127126052433795,2200.0
td3,TD3,1,49,strong,7,7,0.0,0.0,1.0,-82.24248036254212,18.395719528198242,1558.7430065564442,928.71533203125,0.5958104242488031,0.9758415222167969,7.101547222496434,2200.0
td3,TD3,1,49,strong,8,8,1.0,0.0,0.0,193.650032639083,9.928834915161133,1033.7268239770633,890.9869995117188,0.8619172675463903,3.6368942260742188,14.471440229549275,715.0
td3,TD3,1,49,strong,9,9,1.0,0.0,0.0,186.23463397662547,9.9713773727417,1153.495174050694,998.0887451171875,0.865273446799287,3.4943389892578125,14.182955161212996,814.0
td3,TD3,1,49,strong,10,10,1.0,0.0,0.0,176.24206044753225,9.939579963684082,965.3696644351191,903.5235595703125,0.9359353135454122,1.9310989379882812,13.684790158829,706.0
td3,TD3,1,49,strong,11,11,1.0,0.0,0.0,219.62020493282563,9.993425369262695,1131.3322081412011,992.8046875,0.8775536313345094,6.620899677276611,12.606115242951697,898.0
td3,TD3,1,49,strong,12,12,1.0,0.0,0.0,191.03905790199565,9.929821968078613,1109.4576967891173,985.5079345703125,0.8882789649596122,1.5953941345214844,12.715759409866791,873.0
td3,TD3,1,49,strong,13,13,1.0,0.0,0.0,203.56481752772532,9.995232582092285,1089.086300399426,987.4907836914062,0.906714907100788,3.5932083129882812,14.772677718785397,738.0
td3,TD3,1,49,strong,14,14,1.0,0.0,0.0,168.56561015323092,9.963061332702637,1024.9129436718667,923.1139526367188,0.9006754752550576,2.119029998779297,14.528514455972244,706.0
td3,TD3,1,49,strong,15,15,1.0,0.0,0.0,210.51255110561328,9.93690013885498,995.2835014074216,921.5856323242188,0.9259528878163987,6.6596550941467285,14.287672774521488,697.0
td3,TD3,1,49,strong,16,16,1.0,0.0,0.0,200.46812457638876,9.939885139465332,928.7571417522462,857.2015380859375,0.9229555279313301,5.590408802032471,15.05371767321065,618.0
td3,TD3,1,49,strong,17,17,1.0,0.0,0.0,159.0599763117534,9.893963813781738,1090.6808745501392,962.72900390625,0.8826862434012479,0.9957427978515625,14.302561384353538,763.0
td3,TD3,1,49,strong,18,18,0.0,0.0,1.0,-27.656849653578455,16.74645233154297,1479.280677040763,924.3443603515625,0.6248607006755968,9.254806518554688,6.740558489086953,2200.0
td3,TD3,1,49,strong,19,19,1.0,0.0,0.0,222.96846309686526,9.92948055267334,1016.6451278601817,899.4371337890625,0.8847110059752937,9.796080589294434,13.005841204501174,782.0
td3,TD3,1,49,strong,20,20,1.0,0.0,0.0,151.91713510931064,9.991693496704102,1461.1778980238705,893.0625,0.6111935454319406,1.4337730407714844,6.886597864410305,2129.0
td3,TD3,1,49,strong,21,21,0.0,0.0,1.0,-49.84894672856453,12.811285018920898,1644.9641213406517,994.192626953125,0.6043855996949371,4.296729564666748,7.492828318053348,2200.0
td3,TD3,1,49,strong,22,22,1.0,0.0,0.0,198.48499691212638,9.899696350097656,965.2811878368004,858.3555297851562,0.8892284865809257,2.5223922729492188,13.825406595190536,699.0
td3,TD3,1,49,strong,23,23,1.0,0.0,0.0,117.19977738750664,9.916913986206055,1033.01966729651,905.2008666992188,0.8762668275892532,0.20688118040561676,12.577413732625562,822.0
td3,TD3,1,49,strong,24,24,1.0,0.0,0.0,188.98712642304406,9.991201400756836,1082.5429785053127,972.2735595703125,0.8981385301789576,0.5238723754882812,14.015119061124587,773.0
td3,TD3,1,49,strong,25,25,0.0,0.0,1.0,-37.09899881699939,19.75066375732422,1548.3006798779672,869.572021484375,0.5616299422880265,8.2760648727417,7.053838833150539,2200.0
td3,TD3,1,49,strong,26,26,1.0,0.0,0.0,207.19283163970772,9.998489379882812,943.0807880087649,904.1054077148438,0.9586722783567521,5.303783416748047,13.83869752497617,682.0
td3,TD3,1,49,strong,27,27,1.0,0.0,0.0,213.1203180813494,9.913994789123535,1056.7829506084968,879.1780395507812,0.8319381373862529,7.8653130531311035,13.717119532954987,771.0
td3,TD3,1,49,strong,28,28,1.0,0.0,0.0,160.30955559036448,9.932883262634277,1147.6672989940796,994.7940673828125,0.8667965605143065,1.266448974609375,11.169880099333678,1028.0
td3,TD3,1,49,strong,29,29,0.0,0.0,1.0,-47.63936112526368,19.951868057250977,1461.5358901282657,853.8196411132812,0.5841934138465456,4.800895690917969,6.660572426644238,2200.0
td3,TD3,1,49,strong,30,30,1.0,0.0,0.0,211.085099527145,9.903753280639648,986.5544237909762,912.7813110351562,0.9252214465043538,8.397979736328125,13.90367177237927,710.0
td3,TD3,1,49,strong,31,31,1.0,0.0,0.0,188.7012495394874,9.96384334564209,1486.4699793822783,997.0360107421875,0.6707407647455609,3.9217529296875,7.590613921655421,1963.0
td3,TD3,1,49,strong,32,32,1.0,0.0,0.0,161.4427764179327,9.979023933410645,1348.2932608895615,914.2466430664062,0.6780769952548862,1.1113243103027344,6.998521021179716,1932.0
td3,TD3,1,49,strong,33,33,0.0,0.0,1.0,-51.12659099150334,13.429671287536621,1614.656578152232,882.3709106445312,0.5464759024202483,2.975353240966797,7.3533656003868035,2200.0
td3,TD3,1,49,strong,34,34,1.0,0.0,0.0,205.44971910293768,9.970246315002441,1008.337800306489,931.1689453125,0.9234692431737328,7.668146133422852,15.68174519283431,644.0
td3,TD3,1,49,strong,35,35,1.0,0.0,0.0,210.06513731501016,9.970476150512695,1394.6493420219244,973.35986328125,0.6979244416163417,16.279918670654297,6.424986676298444,2178.0
td3,TD3,1,49,strong,36,36,1.0,0.0,0.0,185.94729828368105,9.929594993591309,1009.2270940542649,889.2577514648438,0.8811275051014728,3.298945903778076,14.9276106477312,677.0
td3,TD3,1,49,strong,37,37,1.0,0.0,0.0,200.03546945522697,9.931488037109375,1084.9720600488174,957.374755859375,0.8823957695429491,3.9072113037109375,12.63307807175226,860.0
td3,TD3,1,49,strong,38,38,1.0,0.0,0.0,193.51576486393532,9.962897300720215,1034.327872753307,861.9273681640625,0.8333212232497161,1.8695735931396484,14.18152634378982,730.0
td3,TD3,1,49,strong,39,39,0.0,0.0,1.0,-52.903904913799785,14.146784782409668,1660.6568155170814,991.6890258789062,0.5971667454784283,3.9506325721740723,7.563993292552504,2200.0
td3,TD3,1,49,strong,40,40,1.0,0.0,0.0,204.42303730110245,9.909998893737793,1113.7379789642505,943.14501953125,0.8468284617611336,6.399683475494385,14.839645905437546,751.0
td3,TD3,1,49,strong,41,41,0.0,0.0,1.0,-34.0702453079223,16.69184684753418,1486.318579043492,903.6188354492188,0.6079577071765698,4.814177513122559,6.773739536214959,2200.0
td3,TD3,1,49,strong,42,42,0.0,0.0,1.0,-41.60213346321735,15.467796325683594,1399.4333836362587,870.6615600585938,0.6221529157724427,2.4163589477539062,6.380918543690985,2200.0
td3,TD3,1,49,strong,43,43,1.0,0.0,0.0,137.29739676524287,9.990898132324219,1376.0354177810227,915.993408203125,0.6656757495967978,1.0275115966796875,7.088086198166288,1948.0
td3,TD3,1,49,strong,44,44,1.0,0.0,0.0,206.38204818876915,9.962244033813477,1426.633782233987,954.2368774414062,0.6688730417887291,2.2872467041015625,6.832046206730997,2094.0
td3,TD3,1,49,strong,45,45,0.0,1.0,0.0,-181.46642623577483,679.7062377929688,240.28706632950482,914.264892578125,1.0,0.0,15.02224635258317,160.0
td3,TD3,1,49,strong,46,46,1.0,0.0,0.0,208.65259457054904,9.973949432373047,1012.2928095541912,929.7449340820312,0.9184545472485243,10.392105102539062,15.473849031397405,655.0
td3,TD3,1,49,strong,47,47,1.0,0.0,0.0,212.74921001294888,9.985238075256348,1037.1965261648088,929.9989013671875,0.8966467568166655,5.696212291717529,13.333514508142091,779.0
td3,TD3,1,49,strong,48,48,1.0,0.0,0.0,183.71463023055313,9.839993476867676,1045.1293202997354,878.835693359375,0.8408870331064211,2.700388193130493,14.35654874381051,729.0
td3,TD3,1,49,strong,49,49,1.0,0.0,0.0,206.01941359900601,9.984789848327637,1243.9989711994028,929.423095703125,0.7471252928826949,4.823516845703125,8.027909065091219,1553.0
td3,TD3,1,49,strong,50,50,1.0,0.0,0.0,195.68317647221193,9.947117805480957,1166.6915049262695,916.0306396484375,0.7851524038536024,1.9054450988769531,11.134008760675007,1049.0
td3,TD3,1,49,strong,51,51,1.0,0.0,0.0,203.05838973248552,9.989745140075684,1020.3208364624369,916.2655029296875,0.8980170454094415,2.500347137451172,13.00993573521353,785.0
td3,TD3,1,49,strong,52,52,1.0,0.0,0.0,211.96985035022223,9.905521392822266,1003.7211581388145,888.89892578125,0.8856034552758879,8.857735633850098,14.388657461777116,698.0
td3,TD3,1,49,strong,53,53,1.0,0.0,0.0,175.24518202150412,9.980574607849121,1141.24222657927,958.13525390625,0.8395546813739445,2.2588882446289062,14.194346246808212,805.0
td3,TD3,1,49,strong,54,54,1.0,0.0,0.0,203.40994797301101,9.935580253601074,1104.7067706297132,989.731201171875,0.8959220921654178,5.3310089111328125,14.102236192217287,784.0
td3,TD3,1,49,strong,55,55,0.0,0.0,1.0,-43.26234837049095,15.242483139038086,1421.9676112957702,860.993896484375,0.6054947311351156,1.9627532958984375,6.483252256729386,2200.0
td3,TD3,1,49,strong,56,56,1.0,0.0,0.0,221.03270613597147,9.901960372924805,1099.4279047449395,941.2478637695312,0.8561251353610995,10.207212448120117,13.707714485721302,803.0
td3,TD3,1,49,strong,57,57,1.0,0.0,0.0,182.48456098679455,9.999547958374023,1123.7625301780452,896.2239379882812,0.7975207518676446,3.0342178344726562,11.080796536142604,1015.0
td3,TD3,1,49,strong,58,58,1.0,0.0,0.0,219.44728505106272,9.998601913452148,1056.640255870073,931.9998779296875,0.8820408580423122,6.07497501373291,12.150994820224827,870.0
td3,TD3,1,49,strong,59,59,1.0,0.0,0.0,202.96777857604232,9.943846702575684,1038.984159032255,866.7564086914062,0.8342344790884323,3.131011962890625,12.20514420619313,852.0
td3,TD3,1,49,strong,60,60,1.0,0.0,0.0,161.22523110878478,9.97040843963623,938.9090961679117,853.3601684570312,0.9088847599197387,1.0395851135253906,14.39371065030967,653.0
td3,TD3,1,49,strong,61,61,1.0,0.0,0.0,195.22197263288214,9.875905990600586,986.0943822192077,880.8306884765625,0.8932519080924597,3.1680164337158203,13.692135730828062,721.0
td3,TD3,1,49,strong,62,62,1.0,0.0,0.0,206.22914802071833,9.99239444732666,1377.056336266641,975.6613159179688,0.7085122737702216,4.048133850097656,7.061143635980134,1957.0
td3,TD3,1,49,strong,63,63,1.0,0.0,0.0,223.0836073457853,9.85984992980957,1052.863307607835,926.2330932617188,0.8797277733670601,3.2112274169921875,12.819383231755301,822.0
td3,TD3,1,49,strong,64,64,1.0,0.0,0.0,207.77811202711442,9.911191940307617,1073.8206745652976,936.3121948242188,0.8719446524004161,6.597805976867676,14.766564631200099,728.0
td3,TD3,1,49,strong,65,65,1.0,0.0,0.0,177.0616167918761,9.977422714233398,972.317018509511,854.1882934570312,0.8785080145634372,2.210855007171631,14.63868551128789,665.0
td3,TD3,1,49,strong,66,66,1.0,0.0,0.0,205.62622478403335,9.948607444763184,1033.542107627289,922.0425415039062,0.8921189903144312,6.356167793273926,15.1243976704907,684.0
td3,TD3,1,49,strong,67,67,1.0,0.0,0.0,198.68145636440107,9.917754173278809,954.1072221432989,864.3283081054688,0.905902699451167,2.349365234375,13.04153403428083,732.0
td3,TD3,1,49,strong,68,68,1.0,0.0,0.0,211.51248470625978,9.920275688171387,1055.1258832182714,944.6571655273438,0.8953028075152667,7.512688159942627,14.713558019950861,718.0
td3,TD3,1,49,strong,69,69,1.0,0.0,0.0,203.18420989446585,9.850362777709961,1024.8614729910273,851.3783569335938,0.8307253022682877,3.8704147338867188,13.897520073222598,738.0
td3,TD3,1,49,strong,70,70,1.0,0.0,0.0,210.31523606648034,9.876201629638672,1052.833796371192,904.4849243164062,0.8590956401987658,4.003198623657227,14.722406547079538,716.0
td3,TD3,1,49,strong,71,71,1.0,0.0,0.0,166.95825287318146,9.937586784362793,1059.800693695918,909.43603515625,0.8581198715625571,1.2757415771484375,14.651890499486449,724.0
td3,TD3,1,49,strong,72,72,1.0,0.0,0.0,196.7308146975701,9.945162773132324,953.7333717323877,896.2926025390625,0.9397727175164394,3.7642669677734375,15.101858412540413,632.0
