method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
LSTM_SAC,5,2,0,1412000,1,0,0,206.81821818714502,592,915.5096435546875,9.817261695861816,9.817261695861816,13.635021209716797,15.9261622759136,940.9877273266926,0.9729241062002081,1.0278293996697625
LSTM_SAC,5,2,1,1412001,1,0,0,206.7595477623923,715,932.3025512695312,9.964680671691895,9.964680671691895,7.036537170410156,14.56328610515261,1040.6607460843502,0.8958755817181212,1.116226427426661
LSTM_SAC,5,2,2,1412002,1,0,0,207.28770814328607,580,869.3279418945312,9.972443580627441,9.972443580627441,12.205796241760254,15.501169366672121,897.3805375821635,0.9687394650175776,1.0322692902594355
LSTM_SAC,5,2,3,1412003,0,1,0,-153.93754751301495,2122,877.7936401367188,129.37057495117188,13.743282318115234,0.0482177734375,9.35437815016334,1983.6682374272023,0.44251030670088676,nan
LSTM_SAC,5,2,4,1412004,1,0,0,210.67687629956686,790,915.7529907226562,9.937917709350586,9.937917709350586,8.149269104003906,13.582043800399273,1072.468610174352,0.8538739334979525,1.1711330686761126
LSTM_SAC,5,2,5,1412005,1,0,0,206.83902582117506,647,936.9131469726562,9.97778034210205,9.97778034210205,9.502506256103516,15.488026965991054,1000.8943924461719,0.9360759277338477,1.0682894094081732
LSTM_SAC,5,2,6,1412006,1,0,0,207.05354100458857,610,941.107421875,9.870506286621094,9.870506286621094,13.515544891357422,15.959344561569026,971.8930635515696,0.9683240442481704,1.0327121441835347
LSTM_SAC,5,2,7,1412007,0,1,0,-193.86058249831518,1977,959.439208984375,129.40687561035156,10.638096809387207,0.0,9.543841106968813,1885.5276972245224,0.5088438692238039,nan
LSTM_SAC,5,2,8,1412008,1,0,0,206.57166267086933,677,988.566162109375,9.991606712341309,9.991606712341309,8.587387084960938,15.492408685000996,1047.9293186117543,0.9433519461207358,1.0600497556741288
LSTM_SAC,5,2,9,1412009,1,0,0,186.22883263828663,668,941.8558959960938,9.916298866271973,9.916298866271973,2.6339454650878906,14.439659546235365,962.8598062758409,0.9781859101991324,1.0223005561350058
LSTM_SAC,5,2,10,1412010,1,0,0,207.0005310208722,574,881.56982421875,9.958439826965332,9.958439826965332,41.85158157348633,15.571691668511267,892.2207416389793,0.9880624637792392,1.01208176270061
LSTM_SAC,5,2,11,1412011,1,0,0,207.35890358133832,614,924.8223876953125,9.93655776977539,9.93655776977539,9.80670166015625,15.419763683399083,945.7911330449629,0.9778294122063275,1.0226732674604744
LSTM_SAC,5,2,12,1412012,1,0,0,171.33439295505883,782,998.7198486328125,9.991545677185059,9.991545677185059,1.5061225891113281,14.217642523824711,1111.38120140507,0.8986294237928222,1.1128057612217122
LSTM_SAC,5,2,13,1412013,1,0,0,209.19902761163962,715,939.0917358398438,9.983760833740234,9.983760833740234,22.990020751953125,14.568666460213961,1040.7029217810452,0.9023629281569562,1.1082015548250237
LSTM_SAC,5,2,14,1412014,1,0,0,214.31190241937736,879,950.2139282226562,9.977697372436523,9.977697372436523,12.202072143554688,12.775248829279608,1122.4979780415845,0.8465172738043492,1.1813108024433823
LSTM_SAC,5,2,15,1412015,1,0,0,188.51009269391506,739,957.5615234375,9.931869506835938,9.931869506835938,2.2674484252929688,14.136075127431278,1043.882011587898,0.9173081946118682,1.0901461535761385
LSTM_SAC,5,2,16,1412016,1,0,0,208.62574479298678,765,935.7734985351562,9.981415748596191,9.981415748596191,5.954927921295166,14.013508485033622,1071.3397094514842,0.8734610416095409,1.1448707525149417
