method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
PPO,2,2,0,1112000,0,1,0,-290.3895378318355,1974,886.8070068359375,1132.2308349609375,882.4871215820312,0.0,6.954965117945135,1371.278389930803,0.6467009276509398,nan
PPO,2,2,1,1112001,0,0,1,-88.83405769550616,2200,949.9656372070312,952.03759765625,917.3017578125,33.53343200683594,6.943299405845729,1525.7324969997283,0.6226292217509217,nan
PPO,2,2,2,1112002,0,0,1,-88.59823007640497,2200,911.21484375,911.7294311523438,879.5994262695312,36.24235534667969,6.98658217782324,1535.2719350225336,0.5935201594997084,nan
PPO,2,2,3,1112003,0,0,1,-99.15208242492747,2200,858.4228515625,949.2825317382812,849.0260620117188,24.823348999023438,7.006156554303386,1539.7027820763617,0.5575250376601102,nan
PPO,2,2,4,1112004,0,0,1,-65.20075792088949,2200,950.441162109375,743.2577514648438,743.1878051757812,28.018707275390625,6.9519576227935875,1527.7876574224051,0.6221029195332709,nan
PPO,2,2,5,1112005,0,0,1,-428.0666698042781,2200,997.3341674804688,1099.705322265625,988.10009765625,0.0,6.923126317398115,1521.2558298617091,0.6555992410370136,nan
PPO,2,2,6,1112006,0,0,1,-87.60679543557696,2200,851.6326904296875,844.127197265625,817.5638427734375,15.346370697021484,6.976870944256132,1533.1829126584357,0.5554671157618198,nan
PPO,2,2,7,1112007,0,0,1,-95.78804480169492,2200,851.922119140625,913.1414184570312,849.8272705078125,26.949020385742188,6.974941545941613,1532.9285951852983,0.5557480771226959,nan
PPO,2,2,8,1112008,0,0,1,-105.96193320576484,2200,986.794189453125,1161.4791259765625,974.1456909179688,29.857406616210938,6.975076933340593,1532.8775464641467,0.643752784904013,nan
PPO,2,2,9,1112009,0,0,1,-111.40421832709146,2200,922.6468505859375,1143.9976806640625,922.6468505859375,33.953948974609375,7.007283158681609,1540.0107202034737,0.5991171609922513,nan
PPO,2,2,10,1112010,0,0,1,-47.77926152817799,2200,879.782470703125,539.3404541015625,539.3404541015625,25.541015625,7.004500799341635,1539.3704966615269,0.571520938338842,nan
PPO,2,2,11,1112011,0,0,1,-121.49789814202524,2200,935.2304077148438,1276.821533203125,935.2304077148438,28.620376586914062,7.001933211630041,1538.8599376675238,0.6077423843604561,nan
PPO,2,2,12,1112012,0,0,1,-102.35940888107315,2200,972.2157592773438,1106.2650146484375,972.2025146484375,39.70994567871094,7.043686722679571,1547.9116027071893,0.6280822222515848,nan
PPO,2,2,13,1112013,0,0,1,-51.76844285375699,2200,859.2244262695312,559.8681030273438,559.8681030273438,19.368682861328125,6.98780123995109,1535.6491972890415,0.5595186894157619,nan
PPO,2,2,14,1112014,0,0,1,-112.8398694818774,2200,931.7147216796875,1137.5595703125,931.7147216796875,6.530220031738281,6.973605907992884,1532.5550421044886,0.6079486191897333,nan
PPO,2,2,15,1112015,0,0,1,-55.47459315296302,2200,894.398681640625,618.0033569335938,614.4800415039062,35.104095458984375,7.039537493207238,1547.0468530436942,0.5781328987425075,nan
PPO,2,2,16,1112016,0,0,1,-100.77962761235686,2200,921.2757568359375,1034.5506591796875,920.198974609375,25.764678955078125,7.002598521167582,1538.954303091151,0.59863750014244,nan
PPO,2,2,17,1112017,0,0,1,-63.13707788091797,2200,875.4267578125,532.6544189453125,527.9386596679688,3.596195936203003,7.0168051294305105,1542.0628345878704,0.56769849981273,nan
PPO,2,2,18,1112018,0,0,1,-48.58328019452561,2200,924.2353515625,577.8553466796875,577.4990234375,33.784393310546875,7.045314970937643,1548.322692664275,0.5969268266501492,nan
PPO,2,2,19,1112019,0,0,1,-114.75349377219875,2200,988.6981811523438,1263.9393310546875,987.9463500976562,30.3206787109375,6.9993059938604185,1538.1624924534212,0.6427787610237048,nan
PPO,2,2,20,1112020,0,0,1,-113.0505727333928,2200,941.8388061523438,1180.8463134765625,941.8388061523438,6.801647663116455,6.998382738611915,1538.0200359858911,0.6123709601407192,nan
PPO,2,2,21,1112021,0,0,1,-94.98576670120327,2200,990.2034912109375,1052.435791015625,988.154541015625,30.021011352539062,6.916671482378786,1520.0564606132693,0.6514254679799448,nan
PPO,2,2,22,1112022,0,0,1,-108.00798997325413,2200,987.3555297851562,1183.950439453125,976.7501831054688,22.193885803222656,6.987823179364204,1535.6882603644542,0.6429400779236497,nan
PPO,2,2,23,1112023,0,0,1,-80.22579870127655,2200,936.096435546875,862.9254150390625,853.2117919921875,9.493812561035156,6.997080134532668,1537.587090294494,0.6088087246931714,nan
PPO,2,2,24,1112024,0,0,1,-64.45740919848691,2200,986.2626342773438,765.5284423828125,762.7797241210938,29.153701782226562,6.974175369414416,1532.6427988560997,0.6435045628462476,nan
PPO,2,2,25,1112025,0,0,1,-123.91743333177857,2200,968.3528442382812,1358.137451171875,968.3528442382812,31.44073486328125,7.006098514524373,1539.7452101107929,0.6289045992022297,nan
PPO,2,2,26,1112026,0,0,1,-51.79699429749013,2200,967.2521362304688,632.224365234375,632.224365234375,40.67518615722656,7.039126589054411,1546.8922972989112,0.6252873182699438,nan
PPO,2,2,27,1112027,0,0,1,-100.83268326843196,2200,999.3591918945312,1119.7320556640625,995.35302734375,16.790538787841797,6.963569231520999,1530.266157519195,0.6530623362374108,nan
PPO,2,2,28,1112028,0,0,1,-52.14279427453279,2200,933.6970825195312,612.6046752929688,612.6046752929688,11.164093017578125,6.956733614368872,1528.810226840529,0.6107344561980914,nan
PPO,2,2,29,1112029,0,0,1,-114.85634470544124,2200,915.462646484375,1172.5919189453125,915.4466552734375,35.851043701171875,7.016123366139152,1541.9367054447616,0.5937096141831034,nan
PPO,2,2,30,1112030,0,0,1,-91.0594609132685,2200,999.2655639648438,1023.7662963867188,999.1674194335938,36.549468994140625,6.999906375489451,1538.2423633935257,0.6496151632180758,nan
PPO,2,2,31,1112031,0,0,1,-100.69399762944482,2200,910.0811767578125,1020.3511962890625,898.9920654296875,34.83497619628906,6.958202181837775,1529.1252103139343,0.5951645886284027,nan
PPO,2,2,32,1112032,0,0,1,-86.82721473262366,2200,932.3486328125,916.6663208007812,889.6585693359375,36.11285400390625,6.991553179242394,1536.4310150663432,0.6068275266964988,nan
PPO,2,2,33,1112033,0,0,1,-37.09614486467334,2200,873.6835327148438,442.1869812011719,440.7953186035156,36.473876953125,7.041538178758188,1547.59315991951,0.564543418349228,nan
PPO,2,2,34,1112034,0,0,1,-108.23603455664248,2200,979.8949584960938,1178.2255859375,969.819091796875,35.1268310546875,7.0035828358205885,1539.1443547803058,0.6366491586398093,nan
