method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
SAC,5,3,0,1413000,1,0,0,225.2156603412039,881,995.4775390625,9.996813774108887,9.996813774108887,15.665245056152344,14.872902728913186,1309.6425630973854,0.7601139174250219,1.315592277783337
SAC,5,3,1,1413001,1,0,0,224.11345816587857,756,870.864501953125,9.880366325378418,9.880366325378418,39.18145751953125,14.992437743793719,1132.8086839201676,0.7687657362754622,1.3007863810955311
SAC,5,3,2,1413002,1,0,0,223.4319801121673,795,905.6123657226562,9.97343921661377,9.97343921661377,13.062285423278809,14.422676233450572,1145.573615356587,0.7905317943629165,1.2649712600185705
SAC,5,3,3,1413003,1,0,0,225.09051081080025,764,858.8508911132812,9.96667194366455,9.96667194366455,8.684514999389648,14.763355686714512,1127.3026920147195,0.7618636034465063,1.3125709057057144
SAC,5,3,4,1413004,1,0,0,221.67794376683142,777,952.733154296875,9.856759071350098,9.856759071350098,20.03268814086914,15.13840915360506,1175.3676907496779,0.8105830726801745,1.2336798456616207
SAC,5,3,5,1413005,1,0,0,224.093591337291,818,946.26708984375,9.983986854553223,9.983986854553223,37.78880310058594,14.719601742212813,1203.4482692801812,0.7862964399871886,1.2717849771980314
SAC,5,3,6,1413006,1,0,0,223.86349260711586,800,920.7789306640625,9.888046264648438,9.888046264648438,40.671905517578125,14.89406377054751,1190.4089050951118,0.7734980196493857,1.2928281321951982
SAC,5,3,7,1413007,0,0,1,-21.61802472512646,2200,926.0864868164062,38.603267669677734,10.523811340332031,20.93755531311035,8.124023168710146,1783.4916721252841,0.5192547300839607,nan
SAC,5,3,8,1413008,1,0,0,222.5000784168598,787,943.1871948242188,9.876997947692871,9.876997947692871,31.29473876953125,14.888647358632603,1171.3432458088682,0.805218451721129,1.2418990124512566
SAC,5,3,9,1413009,1,0,0,223.50776461264147,748,863.61865234375,9.996072769165039,9.996072769165039,32.59764862060547,15.004732118570868,1121.7508193985634,0.769884574549976,1.2988960073456912
SAC,5,3,10,1413010,1,0,0,222.87474357949276,807,923.8568725585938,9.88733959197998,9.88733959197998,8.673662185668945,14.731777211990499,1188.195279304688,0.7775294925420166,1.2861248474712506
SAC,5,3,11,1413011,1,0,0,225.0200689526162,789,900.1299438476562,9.89396858215332,9.89396858215332,31.015670776367188,14.951795670922719,1178.8645503523671,0.7635567152974478,1.3096604089330082
SAC,5,3,12,1413012,1,0,0,223.35806322974784,805,954.8192749023438,9.952759742736816,9.952759742736816,24.852182388305664,14.82235689896234,1192.5444620424958,0.8006571706911496,1.2489740136053138
SAC,5,3,13,1413013,1,0,0,223.47751662632845,858,966.3239135742188,9.971918106079102,9.971918106079102,13.006115913391113,14.310841936470467,1226.645904591305,0.787777393587907,1.2693941310571657
SAC,5,3,14,1413014,1,0,0,223.4395267772161,849,947.7703247070312,9.887520790100098,9.887520790100098,8.229878425598145,14.708382962870514,1247.633327165142,0.7596545427818476,1.3163878364210257
SAC,5,3,15,1413015,1,0,0,224.5907887171528,848,991.1516723632812,9.88133430480957,9.88133430480957,30.932342529296875,15.008863467582554,1271.4861239038044,0.7795222092712888,1.2828370867519192
SAC,5,3,16,1413016,1,0,0,223.039557880219,762,899.3651733398438,9.906664848327637,9.906664848327637,14.257535934448242,15.266516485865035,1162.6233572670674,0.7735653749929348,1.292715563967859
SAC,5,3,17,1413017,1,0,0,225.1853492752336,820,945.32666015625,9.925024032592773,9.925024032592773,19.052324295043945,15.17343587424697,1243.3487094161742,0.7603069460699701,1.3152582718979544
SAC,5,3,18,1413018,1,0,0,224.22663321845272,805,905.0779418945312,9.866349220275879,9.866349220275879,19.21385383605957,15.00247642845841,1207.0494376892023,0.7498267375255393,1.3336414266848409
SAC,5,3,19,1413019,1,0,0,224.83016050824727,806,935.5111083984375,9.892477035522461,9.892477035522461,27.11484146118164,15.201724149305235,1224.4035970499945,0.7640545247109716,1.308807117369382
SAC,5,3,20,1413020,1,0,0,222.46808129741862,799,937.8184814453125,9.917706489562988,9.917706489562988,11.132232666015625,15.042868469623809,1200.890911881172,0.7809356138570807,1.2805152976196708
SAC,5,3,21,1413021,1,0,0,221.22842161961887,805,975.8107299804688,9.863873481750488,9.863873481750488,32.47828674316406,14.862569154123342,1195.614044106221,0.8161586381414031,1.2252519954665304
SAC,5,3,22,1413022,1,0,0,220.71830626049032,826,968.7739868164062,9.9973783493042,9.9973783493042,17.25216293334961,14.69668500720733,1213.342866413372,0.7984338257825601,1.2524519474358204
SAC,5,3,23,1413023,1,0,0,132.46197082556935,823,866.3724975585938,9.982474327087402,9.982474327087402,0.0072583481669425964,13.820487500468262,1136.8702245963138,0.7620680697009459,1.312218737090539
SAC,5,3,24,1413024,1,0,0,220.9687420650304,836,939.7620239257812,9.970587730407715,9.970587730407715,5.651344299316406,14.088169118434049,1176.994256020642,0.7984423195938687,1.2524386238803755
SAC,5,3,25,1413025,1,0,0,223.97232291620037,858,994.8616333007812,9.982322692871094,9.982322692871094,10.249557495117188,14.891796511300516,1277.1639144284875,0.7789615898644987,1.2837603458393259
SAC,5,3,26,1413026,1,0,0,225.03768311748544,775,868.5718994140625,9.969796180725098,9.969796180725098,39.66658020019531,14.807140988995952,1146.9418191756556,0.7572937745336842,1.3204915102012638
SAC,5,3,27,1413027,1,0,0,223.68347545772306,809,920.5359497070312,9.990761756896973,9.990761756896973,31.02845001220703,14.617079033324096,1182.0870493464267,0.7787378689378194,1.284129152938173
SAC,5,3,28,1413028,1,0,0,226.1953778839502,838,953.3025512695312,9.908856391906738,9.908856391906738,11.50395679473877,14.9255416085299,1249.5224068620605,0.7629335384737682,1.3107301613722186
SAC,5,3,29,1413029,1,0,0,223.01457897468072,808,939.9556884765625,9.940876960754395,9.940876960754395,31.395980834960938,14.920766578452422,1204.7210086924767,0.7802268589112821,1.2816785125743895
SAC,5,3,30,1413030,1,0,0,223.52412394347132,839,974.2219848632812,9.98824405670166,9.98824405670166,37.76167297363281,14.587493642578535,1223.0011127282341,0.7965830731666435,1.2553618494863525
SAC,5,3,31,1413031,1,0,0,222.8099360029702,778,909.692626953125,9.913630485534668,9.913630485534668,35.21748352050781,14.480899813702296,1125.5032463715038,0.808254112003561,1.2372346581957063
SAC,5,3,32,1413032,1,0,0,223.8123668995217,770,897.0562133789062,9.969250679016113,9.969250679016113,42.362701416015625,15.106095307368737,1162.404462958479,0.7717246810079987,1.2957989093906344
SAC,5,3,33,1413033,1,0,0,223.70325832836807,862,994.992919921875,9.989104270935059,9.989104270935059,30.626632690429688,14.533867475051615,1252.240296337685,0.7945702776310917,1.2585419164952538
SAC,5,3,34,1413034,1,0,0,223.63460109529717,765,879.2183837890625,9.987347602844238,9.987347602844238,41.69889831542969,14.677446144858218,1121.8616847296105,0.7837137106620862,1.2759761458749954
SAC,5,3,35,1413035,1,0,0,224.44527431558942,852,995.1900634765625,9.996224403381348,9.996224403381348,25.710853576660156,14.88315462366516,1267.2555846199,0.7853112470402404,1.2733804638210646
SAC,5,3,36,1413036,1,0,0,223.55051250786323,783,923.8048706054688,9.866118431091309,9.866118431091309,21.716096878051758,14.975685640084789,1171.9211129385817,0.7882824708986054,1.2685807904113946
SAC,5,3,37,1413037,1,0,0,221.90349346200347,786,941.3324584960938,9.945862770080566,9.945862770080566,39.61238098144531,15.276906614236855,1200.0152156285872,0.7844337690360107,1.2748048840744046
SAC,5,3,38,1413038,1,0,0,224.23645326401055,763,870.4105834960938,9.986071586608887,9.986071586608887,29.2177791595459,14.949777323874702,1139.7527168622614,0.7636837101756015,1.3094426222212594
SAC,5,3,39,1413039,1,0,0,224.7201617883052,847,974.1820068359375,9.952571868896484,9.952571868896484,36.91667175292969,14.8775597295626,1259.1346865652968,0.7736916608129816,1.2925045604720846
SAC,5,3,40,1413040,1,0,0,224.77580335514943,831,962.8463745117188,9.919546127319336,9.919546127319336,10.60710334777832,15.091910584738969,1253.0207817186986,0.7684201160582798,1.3013714491620056
SAC,5,3,41,1413041,1,0,0,225.0002805624618,772,863.9765014648438,9.963582038879395,9.963582038879395,23.505271911621094,14.402823453662927,1111.0253407392415,0.7776388798566743,1.2859439334930227
SAC,5,3,42,1413042,1,0,0,220.4941327621799,734,887.7699584960938,9.946057319641113,9.946057319641113,20.056058883666992,14.997335954160716,1100.3361484530974,0.8068170438135303,1.2394383679270884
SAC,5,3,43,1413043,1,0,0,225.3208316115028,765,853.8514404296875,9.899855613708496,9.899855613708496,11.821731567382812,14.4179847556002,1102.0478399209064,0.7747861839563772,1.2906786681373026
SAC,5,3,44,1413044,1,0,0,225.9987509726392,825,931.0126953125,9.995625495910645,9.995625495910645,16.099597930908203,14.730273802786163,1214.5575112553813,0.7665447594574538,1.3045552626408685
SAC,5,3,45,1413045,1,0,0,223.55300414591795,817,972.9076538085938,9.97916030883789,9.97916030883789,13.709938049316406,15.091125176031703,1232.539102503666,0.7893523636145247,1.2668613487402487
SAC,5,3,46,1413046,1,0,0,213.832067957989,894,925.6843872070312,9.905763626098633,9.905763626098633,4.256461143493652,13.670981818730933,1221.1596200095792,0.7580371738788496,1.3191965176101261
SAC,5,3,47,1413047,1,0,0,225.09195404311185,756,853.2369995117188,9.971909523010254,9.971909523010254,10.893314361572266,14.483845628837429,1094.060466298309,0.7798810265017594,1.2822468633268436
SAC,5,3,48,1413048,1,0,0,223.31671462022877,746,861.4400634765625,9.961708068847656,9.961708068847656,40.222320556640625,14.821189626292313,1105.2360686208501,0.7794172556741618,1.2830098290998753
SAC,5,3,49,1413049,1,0,0,222.9867042309166,815,947.6468505859375,9.931775093078613,9.931775093078613,13.574433326721191,14.526947657901085,1182.9616797007827,0.8010799224076595,1.2483148959650403
SAC,5,3,50,1413050,1,0,0,224.78520966716047,813,926.4677124023438,9.926740646362305,9.926740646362305,28.812170028686523,14.652955355166215,1190.7141127143702,0.7780773760129152,1.2852192221862022
SAC,5,3,51,1413051,1,0,0,222.70601915565084,800,935.3826904296875,9.853650093078613,9.853650093078613,31.69148063659668,15.1902171741426,1214.062809712374,0.7704565883632419,1.297931661697384
SAC,5,3,52,1413052,1,0,0,224.96586386680372,817,902.0628051757812,9.992408752441406,9.992408752441406,11.112533569335938,14.495876758451708,1183.2166875373819,0.7623817468744769,1.3116788329464635
SAC,5,3,53,1413053,1,0,0,223.15296739987238,792,923.6715698242188,9.8676176071167,9.8676176071167,40.012420654296875,14.882116084824307,1178.0411568963464,0.7840741084612979,1.2753896464741639
SAC,5,3,54,1413054,1,0,0,223.61084965241506,822,967.3234252929688,9.958639144897461,9.958639144897461,37.03314208984375,14.889450339215225,1223.1121951674984,0.7908705588210566,1.2644294174898743
SAC,5,3,55,1413055,1,0,0,221.69673608566902,853,977.742431640625,9.898015975952148,9.898015975952148,12.283517837524414,14.69090481610818,1252.532378315183,0.7806125003776863,1.281045332371909
SAC,5,3,56,1413056,1,0,0,223.8760386537516,791,919.234619140625,9.986459732055664,9.986459732055664,36.94953918457031,14.885949830113711,1176.6459568720945,0.7812329730722467,1.2800278975264427
SAC,5,3,57,1413057,1,0,0,223.88139707784293,821,964.466064453125,9.911982536315918,9.911982536315918,38.25086975097656,15.096052431523,1238.6291081579604,0.7786560626590152,1.284264064656637
SAC,5,3,58,1413058,1,0,0,223.67690050484316,742,857.7540893554688,9.943920135498047,9.943920135498047,29.65168571472168,14.783432813346225,1096.4717522983553,0.78228562437427,1.2783054792805046
SAC,5,3,59,1413059,1,0,0,218.7257887539214,780,894.1229858398438,9.940428733825684,9.940428733825684,5.705108642578125,14.397550268356616,1122.2286249585625,0.7967387089888734,1.2551166257116861
SAC,5,3,60,1413060,1,0,0,224.56880227006963,795,922.30712890625,9.860554695129395,9.860554695129395,39.36332702636719,14.879427803087534,1182.108026030458,0.780222372741496,1.281685882047016
SAC,5,3,61,1413061,1,0,0,222.86848072898505,816,978.0559692382812,9.94343090057373,9.94343090057373,37.42616271972656,15.376362761153894,1254.0831160212986,0.7798972466364587,1.2822201954331813
SAC,5,3,62,1413062,1,0,0,221.75794605680696,807,964.8472290039062,9.996788024902344,9.996788024902344,30.713241577148438,14.994044524143176,1209.2473558282936,0.7978907080950518,1.253304481245909
SAC,5,3,63,1413063,1,0,0,222.77761208002698,771,898.8684692382812,9.971548080444336,9.971548080444336,40.686309814453125,15.112802988360365,1164.7460653319665,0.771729131346834,1.2957914368928696
SAC,5,3,64,1413064,1,0,0,218.82748558455233,825,902.2942504882812,9.924520492553711,9.924520492553711,4.6245436668396,14.52666740771496,1197.4082606985914,0.7535393567118579,1.327070697891079
SAC,5,3,65,1413065,1,0,0,224.39099765895241,753,851.4886474609375,9.899796485900879,9.899796485900879,17.844860076904297,14.748043251227573,1109.5630207102643,0.7674089993697467,1.3030860998779976
SAC,5,3,66,1413066,1,0,0,223.22098655535277,832,996.5545043945312,9.902846336364746,9.902846336364746,35.582672119140625,14.98151818010956,1245.8281941474336,0.7999132698040362,1.2501355306244404
SAC,5,3,67,1413067,1,0,0,223.45997964490567,736,859.5823974609375,9.899043083190918,9.899043083190918,38.77803039550781,14.820915556310311,1090.191010260722,0.7884695336603136,1.268279822249692
