method,model_seed,city_seed,episode,eval_seed,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch
TD3,5,3,0,1413000,1,0,0,232.56717967950993,1164,995.4775390625,9.895285606384277,9.895285606384277,7.188117980957031,13.13642544307045,1527.850979673243,0.6515540797541655,1.5347920166155737
TD3,5,3,1,1413001,1,0,0,226.7474852221834,800,870.864501953125,9.990808486938477,9.990808486938477,31.162246704101562,14.870588638186454,1189.1866678033841,0.7323194293472441,1.3655243325871527
TD3,5,3,2,1413002,1,0,0,226.59084861774932,903,905.6123657226562,9.849058151245117,9.849058151245117,4.279140472412109,14.02646161835323,1265.7029239878639,0.7155015197952879,1.3976210704431629
TD3,5,3,3,1413003,1,0,0,230.99445344137996,916,858.8508911132812,9.923352241516113,9.923352241516113,7.31976318359375,13.687599303680736,1253.197143503166,0.6853278397303588,1.4591556654016105
TD3,5,3,4,1413004,1,0,0,224.39261525055244,2192,952.733154296875,9.965328216552734,9.965328216552734,11.528339385986328,7.0963361087717445,1546.5520114933904,0.616036930679681,1.6232793038831095
TD3,5,3,5,1413005,1,0,0,231.69268736432278,923,946.26708984375,9.996706008911133,9.996706008911133,34.47239685058594,14.536395643798398,1340.7784212510485,0.7057594863145327,1.4169132960889945
TD3,5,3,6,1413006,1,0,0,231.72068590186117,890,920.7789306640625,9.980759620666504,9.980759620666504,32.342384338378906,14.819972199670385,1317.9707862739765,0.6986337939000822,1.431365056673767
TD3,5,3,7,1413007,1,0,0,229.24929914680493,904,926.0864868164062,9.93396282196045,9.93396282196045,7.435006618499756,14.477118063289508,1308.162116978394,0.7079294491079517,1.4125701385358114
TD3,5,3,8,1413008,1,0,0,227.99870012869155,881,943.1871948242188,9.990680694580078,9.990680694580078,29.056045532226562,14.751652143058386,1299.0920720119625,0.7260356791828174,1.3773427789740864
TD3,5,3,9,1413009,1,0,0,229.60995056589806,861,863.61865234375,9.977768898010254,9.977768898010254,11.140241622924805,14.37148934166606,1236.1723066528823,0.6986231997723069,1.4313867623146739
TD3,5,3,10,1413010,1,0,0,229.12590754475983,897,923.8568725585938,9.930645942687988,9.930645942687988,11.809975624084473,14.393808009100864,1289.623959690717,0.716376945090379,1.395913152779978
TD3,5,3,11,1413011,1,0,0,228.71856131706102,864,900.1299438476562,9.850770950317383,9.850770950317383,14.921733856201172,14.411895355485656,1244.150420046235,0.7234896434903794,1.3821897922071604
TD3,5,3,12,1413012,1,0,0,232.24912573110657,936,954.8192749023438,9.91046142578125,9.91046142578125,10.958354949951172,14.351187009077806,1342.5107120417133,0.7112191108331927,1.4060364587623366
TD3,5,3,13,1413013,1,0,0,229.29884145293812,943,966.3239135742188,9.9531888961792,9.9531888961792,12.16247844696045,14.265859600342218,1344.1855846244414,0.718891739821927,1.3910300322100027
TD3,5,3,14,1413014,1,0,0,230.73201268501703,928,947.7703247070312,9.895612716674805,9.895612716674805,15.648698806762695,14.484082411332377,1343.3592721060832,0.7055225987469026,1.4173890415078503
TD3,5,3,15,1413015,1,0,0,220.612644564258,1048,991.1516723632812,9.950508117675781,9.950508117675781,2.68096923828125,13.95452214390722,1461.3393207472598,0.6782488216743893,1.4743851637387373
TD3,5,3,16,1413016,0,0,1,-86.36091492095525,2200,899.3651733398438,790.9644165039062,787.8045043945312,5.8042683601379395,2.681712455200878,580.1546375606727,1.5502162959884778,nan
TD3,5,3,17,1413017,1,0,0,230.78410173133284,919,945.32666015625,9.961487770080566,9.961487770080566,13.005290031433105,14.730754903208574,1352.4392032934875,0.6989790430905665,1.4306580574697292
TD3,5,3,18,1413018,1,0,0,218.26991523236285,966,905.0779418945312,9.977575302124023,9.977575302124023,4.190451622009277,13.732515384321628,1325.4054507191408,0.6828687337927065,1.4644102892893067
TD3,5,3,19,1413019,1,0,0,229.90551446563495,902,935.5111083984375,9.91084098815918,9.91084098815918,12.95240592956543,14.710364160410846,1325.8286730297361,0.7056048246872207,1.4172238695267967
TD3,5,3,20,1413020,1,0,0,229.57167148082027,887,937.8184814453125,9.997300148010254,9.997300148010254,26.911882400512695,15.041550539257562,1333.7173741710114,0.703161329084601,1.422148742596288
TD3,5,3,21,1413021,0,0,1,-17.223891659221238,2200,975.8107299804688,15.678691864013672,10.398324012756348,15.392297744750977,7.658312424563549,1678.7178116122438,0.5812833599729893,nan
TD3,5,3,22,1413022,1,0,0,227.24017816647824,1118,968.7739868164062,9.95620059967041,9.95620059967041,11.164011001586914,12.873143117415031,1437.907990302076,0.6737385099396284,1.484255367990776
TD3,5,3,23,1413023,1,0,0,230.31748959971264,930,866.3724975585938,9.963454246520996,9.963454246520996,7.775897979736328,13.465603999553188,1251.2733857062453,0.6923926517222251,1.4442672051944034
TD3,5,3,24,1413024,1,0,0,227.23130088145479,859,939.7620239257812,9.984134674072266,9.984134674072266,30.05279541015625,14.658076876394963,1258.178769424737,0.7469224936576049,1.3388269981040468
TD3,5,3,25,1413025,0,0,1,-77.492305107768,2200,994.8616333007812,786.9324340820312,776.82275390625,7.846153259277344,2.989466761892492,646.6347490304278,1.538521761771215,nan
TD3,5,3,26,1413026,1,0,0,228.2055632768486,834,868.5718994140625,9.868217468261719,9.868217468261719,9.064552307128906,14.642836249989571,1220.7401823489572,0.7115125003444632,1.4054566849013501
TD3,5,3,27,1413027,1,0,0,232.6959945052128,911,920.5359497070312,9.963905334472656,9.963905334472656,9.365936279296875,14.803797946672407,1347.665380237908,0.6830597292218977,1.4640008145980767
TD3,5,3,28,1413028,1,0,0,230.42548883809195,1015,953.3025512695312,9.991788864135742,9.991788864135742,5.01931619644165,13.155432153276623,1334.1562285470368,0.7145359223092829,1.399509763999179
TD3,5,3,29,1413029,1,0,0,218.0230148934093,926,939.9556884765625,9.943035125732422,9.943035125732422,2.9926910400390625,14.534645528244921,1344.9564730760892,0.6988744299856503,1.43087220979101
TD3,5,3,30,1413030,1,0,0,226.74940965472086,904,974.2219848632812,9.934761047363281,9.934761047363281,29.570297241210938,14.652344381057583,1323.389381553793,0.736156718833157,1.3584064023555296
TD3,5,3,31,1413031,1,0,0,228.60703738875083,867,909.692626953125,9.928977966308594,9.928977966308594,28.574371337890625,14.483683005611239,1254.5475098072566,0.7251161234163913,1.37908945575295
TD3,5,3,32,1413032,1,0,0,226.4877631951552,845,897.0562133789062,9.996935844421387,9.996935844421387,6.72955322265625,14.757401339683307,1245.6031311406066,0.7201781939625234,1.3885452355865664
