Section,Extension,Count
README_MANIFEST.md,.md,1
_archives,.csv,811
_archives,.done,761
_archives,.gz,3
_archives,.json,23
_archives,.log,10
_archives,.pth,8
_archives,.yaml,36
_indexes,.csv,6
_indexes,.json,1
_indexes,.md,2
configs,.yaml,10
evaluation,.csv,814
evaluation,.done,397
evaluation,.gz,1
evaluation,.json,22
evaluation,.log,2
evaluation,.txt,1
evaluation,.yaml,148
figures,.md,1
figures,.pdf,11
figures,.png,11
figures,.svg,11
models,.pth,44
run_logs,.log,29
training_logs,.0,6
training_logs,.yaml,6
